UniqueID;Data;taxon_key;ScientificName;ScientificName_corrected;Species;Level;Genus;Family;Order;Class;FamCode;GenCode;DemersPelagic;EnvTemp;DepthRangeShallow;DepthRangeDeep;Lmax;BodyShape;Feeding_path;K;tm;trophic_level;DepthRangeDeepLevel;KLevel;tmLevel;trophic_levelLevel;LMaxLevel;BodyShapeILevel;EnvTempLevel
1332;initial;;Cymolutes lecluse;Cymolutes lecluse;Cymolutes lecluse;species;Cymolutes;Labridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;119;17.8;fusiform;benthic;0.4;3.18;4.2;species;family;family;species;species;species;species
1333;initial;605607;Cymolutes praetextatus;Cymolutes praetextatus;Cymolutes praetextatus;species;Cymolutes;Labridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;10;20;elongate;benthic;0.4;3.18;4.2;species;family;family;genus;species;species;species
1334;initial;;Cynoglossus arel;Cynoglossus arel;Cynoglossus arel;species;Cynoglossus;Cynoglossidae;Pleuronectiformes;Actinopterygii;NA;NA;demersal;tropical;;125;40;flat;benthic;0.24;2.76;3.5;species;species;species;species;species;species;species
426;SAU;604948;Cynoglossus canariensis;Cynoglossus canariensis;Cynoglossus canariensis;species;Cynoglossus;Cynoglossidae;Pleuronectiformes;Actinopterygii;442;1404;demersal;tropical;10;300;60;elongate;benthic;0.32;2.1;3.4;species;species;species;genus;species;species;species
558;SAU;606083;Cynoglossus macrostomus;Cynoglossus macrostomus;Cynoglossus macrostomus;species;Cynoglossus;Cynoglossidae;Pleuronectiformes;Actinopterygii;442;1404;demersal;tropical;;225.61;17.3;elongate;benthic;0.69;1.1;3.3;genus;species;species;species;species;species;species
612;SAU;607136;Cynomacrurus piriei;Cynomacrurus piriei;Cynomacrurus piriei;species;Cynomacrurus;Macrouridae;Gadiformes;Actinopterygii;185;4930;pelagic_neritic;subtropical;500;3800;50;elongate;pelagic;0.16;4.2;3.4;species;species;species;species;species;species;species
1336;initial;601169;Cynoscion acoupa;Cynoscion acoupa;Cynoscion acoupa;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;NA;NA;demersal;subtropical;;20;110;fusiform;benthic;0.27;2.27;4;species;species;species;species;species;species;species
1337;initial;600403;Cynoscion analis;Cynoscion analis;Cynoscion analis;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;NA;NA;demersal;subtropical;;107.06;47;fusiform;pelagic;0.23;2.97;4.1;genus;species;species;species;species;species;species
1338;initial;601170;Cynoscion arenarius;Cynoscion arenarius;Cynoscion arenarius;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;NA;NA;demersal;subtropical;;107.06;63.5;fusiform;benthic;0.31;2.29;4.2;genus;species;species;species;species;species;species
1339;initial;652918;Cynoscion guatucupa;Cynoscion guatucupa;Cynoscion guatucupa;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;NA;NA;benthopelagic;subtropical;;194;50;fusiform;pelagic;0.24;2.8;3.7;species;species;species;species;species;species;species
1340;initial;601171;Cynoscion jamaicensis;Cynoscion jamaicensis;Cynoscion jamaicensis;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;NA;NA;demersal;subtropical;;70;50;fusiform;benthic;0.4;1.76;3.8;species;species;species;species;species;species;species
162;SAU;601173;Cynoscion leiarchus;Cynoscion leiarchus;Cynoscion leiarchus;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;331;5172;demersal;tropical;10;50;90.8;fusiform;benthic;0.35;2;3.1;species;species;species;species;species;species;species
1341;initial;600405;Cynoscion nebulosus;Cynoscion nebulosus;Cynoscion nebulosus;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;NA;NA;demersal;subtropical;;107.06;100;fusiform;pelagic;0.13;4.86;4;genus;species;species;species;species;species;species
1342;initial;601175;Cynoscion nothus;Cynoscion nothus;Cynoscion nothus;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;NA;NA;demersal;subtropical;;18;36;fusiform;benthic;0.22;3.12;3.89;species;species;species;genus;species;species;species
1343;initial;600406;Cynoscion regalis;Cynoscion regalis;Cynoscion regalis;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;NA;NA;demersal;subtropical;;26;98;fusiform;benthic;0.26;2.43;3.8;species;species;species;species;species;species;species
747;SAU;614030;Cynoscion reticulatus;Cynoscion reticulatus;Cynoscion reticulatus;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;331;5172;demersal;subtropical;10;60;90;fusiform;benthic;0.2;3.1;3.9;species;species;species;species;species;species;species
163;SAU;601177;Cynoscion steindachneri;Cynoscion steindachneri;Cynoscion steindachneri;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;331;5172;demersal;tropical;1;10;110;fusiform;benthic;0.17;3.6;3.3;species;species;species;species;species;species;species
703;SAU;611002;Cynoscion stolzmanni;Cynoscion stolzmanni;Cynoscion stolzmanni;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;331;5172;demersal;tropical;1;30;115;fusiform;benthic;0.32;1.9;4.1;species;species;species;species;species;species;species
1344;initial;600407;Cynoscion striatus;Cynoscion striatus;Cynoscion striatus;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;NA;NA;demersal;subtropical;;60;60;fusiform;benthic;0.23;2.9;3.9;species;species;species;species;species;species;species
1345;initial;601178;Cynoscion virescens;Cynoscion virescens;Cynoscion virescens;species;Cynoscion;Sciaenidae;Perciformes;Actinopterygii;NA;NA;demersal;tropical;;70;115;fusiform;benthic;0.16;3.8;4;species;species;species;species;species;species;species
213;SAU;601450;Cyprinus carpio;Cyprinus carpio;Cyprinus carpio;species;Cyprinus;Cyprinidae;Cypriniformes;Actinopterygii;122;123;demersal;tropical;;24.82;120;fusiform;benthic;0.28;2.3;3.1;family;species;species;species;species;species;species
440;SAU;605122;Cypselurus poecilopterus;Cypselurus poecilopterus;Cypselurus poecilopterus;species;Cypselurus;Exocoetidae;Beloniformes;Actinopterygii;206;4432;pelagic_neritic;tropical;0;20;27;elongate;pelagic;1.19;0.6;3.4;species;species;species;species;species;species;species
760;SAU;614575;Cyttus novaezealandiae;Cyttus novaezealandiae;Cyttus novaezealandiae;species;Cyttus;Cyttidae;Zeiformes;Actinopterygii;629;6891;demersal;temperate;20;450;40;short_deep;benthic;0.22;25.5;4.5;species;order;order;order;species;species;species
1346;initial;610676;Cyttus traversi;Cyttus traversi;Cyttus traversi;species;Cyttus;Zeidae;Zeiformes;Actinopterygii;NA;NA;demersal;temperate;;592.67;45;short_deep;benthic;0.13;6.02;3.85;genus;family;family;genus;genus;genus;genus
388;SAU;604485;Dactyloptena orientalis;Dactyloptena orientalis;Dactyloptena orientalis;species;Dactyloptena;Dactylopteridae;Scorpaeniformes;Actinopterygii;285;7166;reef_associated;tropical;1;100;40;elongate;benthic;1.5;0.5;3.7;species;species;species;species;species;species;species
645;SAU;607691;Dactyloptena peterseni;Dactyloptena peterseni;Dactyloptena peterseni;species;Dactyloptena;Dactylopteridae;Scorpaeniformes;Actinopterygii;285;7166;demersal;tropical;;400;36;elongate;benthic;0.95;0.7;3.5;species;species;species;species;species;species;species
137;SAU;601021;Dactylopterus volitans;Dactylopterus volitans;Dactylopterus volitans;species;Dactylopterus;Dactylopteridae;Scorpaeniformes;Actinopterygii;285;1858;reef_associated;tropical;1;100;50;fusiform;benthic;0.58;1.2;3.7;species;species;species;species;species;species;species
438;SAU;605110;Dascyllus aruanus;Dascyllus aruanus;Dascyllus aruanus;species;Dascyllus;Pomacentridae;Perciformes;Actinopterygii;350;5141;reef_associated;tropical;0;20;10;short_deep;pelagic;0.47;1.8;3.3;species;species;species;species;species;species;species
439;SAU;605112;Dascyllus trimaculatus;Dascyllus trimaculatus;Dascyllus trimaculatus;species;Dascyllus;Pomacentridae;Perciformes;Actinopterygii;350;5141;reef_associated;tropical;1;55;14;short_deep;benthic;0.5;1.6;2.8;species;species;species;species;species;species;species
1347;initial;602060;Dasyatis pastinaca;Dasyatis pastinaca;Dasyatis pastinaca;species;Dasyatis;Dasyatidae;Myliobatiformes;Elasmobranchii;NA;NA;demersal;subtropical;;200;57;flat;benthic;0.19;3.44;4;species;family;family;species;species;species;species
1348;initial;602574;Dasyatis sabina;Dasyatis sabina;Dasyatis sabina;species;Dasyatis;Dasyatidae;Myliobatiformes;Elasmobranchii;NA;NA;demersal;subtropical;;25;61;flat;benthic;0.19;3.44;3.5;species;family;family;species;species;species;species
