"","Anguilla_japonica","Anguilla_rostrata","Arapaima_gigas","Notopterus_notopterus","Chitala_chitala","Setipinna_phasa","Gonialosa_manmina","Corica_soborna","Tenualosa_ilisha","Clupeoides_borneensis","Gudusia_chapra","Chanos_chanos","Catostomus_commersonii","Botia_dario","Lepidocephalichthys_guntea","Diplocheilichthys_pleurotaenia","Puntius_puntio","Engraulicypris_sardella","Barbonymus_balleroides","Esomus_longimanus","Chela_cachius","Amblypharyngodon_mola","Rasbora_argyrotaenia","Cirrhinus_reba","Labeo_bata","Cirrhinus_mrigala","Cirrhinus_cirrhosus","Labeo_calbasu","Labeo_fimbriatus","Labeo_rohita","Labeo_gonius","Henicorhynchus_siamensis","Cirrhinus_molitorella","Thynnichthys_thynnoides","Osteochilus_vittatus","Crossocheilus_latius","Carassius_carassius","Carassius_gibelio","Cyprinus_carpio","Schizothorax_progastus","Cyclocheilichthys_apogon","Puntioplites_proctozystron","Barbonymus_altus","Rasbora_tornieri","Mystacoleucus_marginatus","Barbonymus_gonionotus","Hampala_macrolepidota","Puntius_bimaculatus","Puntius_chola","Puntius_sophore","Pethia_ticto","Systomus_sarana","Tor_putitora","Neolissochilus_hexagonolepis","Schizothorax_plagiostomus","Schizothorax_richardsonii","Schizothorax_esocinus","Schizothorax_curvifrons","Leptobarbus_hoevenii","Parachela_siamensis","Ctenopharyngodon_idella","Hypophthalmichthys_nobilis","Hypophthalmichthys_molitrix","Schizopyge_niger","Tinca_tinca","Leuciscus_idus","Leuciscus_aspius","Scardinius_erythrophthalmus","Squalius_cephalus","Rutilus_frisii","Abramis_brama","Rutilus_rutilus","Chondrostoma_nasus","Prochilodus_magdalenae","Brycon_cephalus","Brycon_hilarii","Ageneiosus_inermis","Rita_rita","Heteropneustes_fossilis","Clarias_batrachus","Clarias_macrocephalus","Clarias_gariepinus","Silurus_glanis","Ompok_bimaculatus","Ompok_pabda","Wallago_attu","Batasio_tengana","Hemibagrus_nemurus","Sperata_seenghala","Sperata_aor","Mystus_cavasius","Mystus_tengara","Mystus_vittatus","Mystus_bleekeri","Ailia_coila","Mystus_gulio","Eutropiichthys_vacha","Pangasius_pangasius","Pangasianodon_hypophthalmus","Ictalurus_punctatus","Sciades_herzbergii","Hemisorubim_platyrhynchos","Zungaro_zungaro","Pseudoplatystoma_fasciatum","Sorubim_lima","Pinirampus_pirinampu","Pimelodus_maculatus","Esox_lucius","Stenodus_leucichthys","Coregonus_autumnalis","Coregonus_albula","Coregonus_clupeaformis","Coregonus_lavaretus","Thymallus_thymallus","Thymallus_arcticus","Oncorhynchus_tshawytscha","Oncorhynchus_mykiss","Salmo_trutta","Salvelinus_fontinalis","Salvelinus_namaycush","Lota_lota","Morone_saxatilis","Pomoxis_nigromaculatus","Perca_fluviatilis","Perca_flavescens","Sander_vitreus","Sander_lucioperca","Eleotris_fusca","Oxyeleotris_marmorata","Awaous_grammepomus","Glossogobius_giuris","Monopterus_cuchia","Monopterus_albus","Macrognathus_pancalus","Mastacembelus_armatus","Macrognathus_aculeatus","Mastacembelus_mastacembelus","Nandus_nandus","Channa_micropeltes","Channa_marulius","Channa_striata","Channa_punctata","Anabas_testudineus","Osphronemus_goramy","Trichopodus_pectoralis","Trichogaster_lalius","Trichogaster_fasciata","Lates_niloticus","Brachirus_panoides","Parambassis_ranga","Parambassis_wolffii","Chanda_nama","Parambassis_baculis","Chelon_parsia","Etroplus_suratensis","Symphysodon_discus","Oreochromis_niloticus","Oreochromis_mossambicus","Oreochromis_spilurus","Oreochromis_lidole","Rhamphochromis_ferox","Mchenga_inornata","Atherina_boyeri","Xenentodon_cancila","Dermogenys_pusilla","Hyporhamphus_limbatus","Gibelion_catla","Esomus_danrica","Osteobrama_cotio","Salmostoma_bacaila","Salmostoma_phulo","Arabibarbus_grypus","Tachysurus_dumerili","Trichopodus_microlepis","Coptodon_zillii","Anguilla_bicolor","Puntius_stigma","Mesoheros_festae","Mormyrus_rume","Helostoma_temminckii","Pachypterus_atherinoides"
"Anguilla_japonica",0,25.760562,385.56556799997,385.56556699997,385.56556699997,385.56556899997,385.56556699997,385.56556799998,385.56556699997,385.56556799996,385.56556599999,385.56556699997,385.56556799997,385.56556699997,385.56556899997,385.56556599995,385.565565999972,385.56556499994,385.565565999967,385.56556899997,385.565566999957,385.56556699999,385.56556799993,385.56556499997,385.56556599997,385.565565999975,385.565565999975,385.56556599997,385.565566999974,385.565566999974,385.565566999973,385.565565999969,385.56556599994,385.56556499997,385.56556499996,385.56556599994,385.565565999971,385.565565999969,385.565566999967,385.565566999972,385.565566999972,385.56556799997,385.565566999948,385.565567999978,385.565567000016,385.56556699996,385.565566999969,385.565566999938,385.56556799997,385.56556799997,385.56556799997,385.56556800001,385.56556899997,385.565567999975,385.565566999974,385.56556699997,385.56556699997,385.56556699997,385.56556699995,385.56556899997,385.56556699997,385.56556799997,385.56556799997,385.56556699998,385.56556599993,385.565566999968,385.565566999967,385.565567999973,385.56556699997,385.56556699997,385.56556699997,385.565566999966,385.56556699997,385.56556599997,385.565567000007,385.565566999973,385.565566999963,385.56556599996,385.56556599997,385.56556599997,385.565565999974,385.56556599997,385.565565999969,385.56556699994,385.565566999991,385.56556799993,385.565567,385.56556599997,385.56556599997,385.56556599997,385.56556699997,385.56556699997,385.56556599997,385.56556599994,385.56556699998,385.56556699995,385.56556699997,385.56556699997,385.56556599997,385.56556599997,385.56556499997,385.565566,385.565566999948,385.565566999968,385.56556599997,385.56556499997,385.565565999973,385.56556699997,385.565566999975,385.56556699997,385.56556699997,385.565565999966,385.56556599997,385.56556699997,385.56556699997,385.56556599997,385.56556599997,385.56556599997,385.565566999968,385.56556599997,385.56556399997,385.56556599997,385.56556799997,385.56556799997,385.56556899997,385.56556799997,385.56556699997,385.565566999996,385.56556599995,385.565566999967,385.56556699997,385.56556799991,385.565567999978,385.56556799999,385.56556699996,385.56556699997,385.565567000009,385.56556599997,385.56556499996,385.56556499996,385.56556499996,385.56556599992,385.565567999975,385.56556899993,385.56556799997,385.56556799997,385.56556799997,385.56556699998,385.565569000015,385.56556699991,385.56556699991,385.56556699997,385.565566999967,385.56556599997,385.56556699997,385.56556699997,385.56556599997,385.56556599997,385.56556899997,385.565566999969,385.565566999972,385.565566999971,385.56556799997,385.56556799997,385.56556600003,385.56556699996,385.565566931002,385.565566931002,385.565566931002,385.565566931002,385.565566931002,385.565566931002,385.565566399967,385.56556824996,385.56556699997,12.880281,385.565566931002,385.56556699997,385.565567333303,385.565567030266,385.565566387065
"Anguilla_rostrata",25.760562,0,385.56556799997,385.56556699997,385.56556699997,385.56556899997,385.56556699997,385.56556799998,385.56556699997,385.56556799996,385.56556599999,385.56556699997,385.56556799997,385.56556699997,385.56556899997,385.56556599995,385.565565999972,385.56556499994,385.565565999967,385.56556899997,385.565566999957,385.56556699999,385.56556799993,385.56556499997,385.56556599997,385.565565999975,385.565565999975,385.56556599997,385.565566999974,385.565566999974,385.565566999973,385.565565999969,385.56556599994,385.56556499997,385.56556499996,385.56556599994,385.565565999971,385.565565999969,385.565566999967,385.565566999972,385.565566999972,385.56556799997,385.565566999948,385.565567999978,385.565567000016,385.56556699996,385.565566999969,385.565566999938,385.56556799997,385.56556799997,385.56556799997,385.56556800001,385.56556899997,385.565567999975,385.565566999974,385.56556699997,385.56556699997,385.56556699997,385.56556699995,385.56556899997,385.56556699997,385.56556799997,385.56556799997,385.56556699998,385.56556599993,385.565566999968,385.565566999967,385.565567999973,385.56556699997,385.56556699997,385.56556699997,385.565566999966,385.56556699997,385.56556599997,385.565567000007,385.565566999973,385.565566999963,385.56556599996,385.56556599997,385.56556599997,385.565565999974,385.56556599997,385.565565999969,385.56556699994,385.565566999991,385.56556799993,385.565567,385.56556599997,385.56556599997,385.56556599997,385.56556699997,385.56556699997,385.56556599997,385.56556599994,385.56556699998,385.56556699995,385.56556699997,385.56556699997,385.56556599997,385.56556599997,385.56556499997,385.565566,385.565566999948,385.565566999968,385.56556599997,385.56556499997,385.565565999973,385.56556699997,385.565566999975,385.56556699997,385.56556699997,385.565565999966,385.56556599997,385.56556699997,385.56556699997,385.56556599997,385.56556599997,385.56556599997,385.565566999968,385.56556599997,385.56556399997,385.56556599997,385.56556799997,385.56556799997,385.56556899997,385.56556799997,385.56556699997,385.565566999996,385.56556599995,385.565566999967,385.56556699997,385.56556799991,385.565567999978,385.56556799999,385.56556699996,385.56556699997,385.565567000009,385.56556599997,385.56556499996,385.56556499996,385.56556499996,385.56556599992,385.565567999975,385.56556899993,385.56556799997,385.56556799997,385.56556799997,385.56556699998,385.565569000015,385.56556699991,385.56556699991,385.56556699997,385.565566999967,385.56556599997,385.56556699997,385.56556699997,385.56556599997,385.56556599997,385.56556899997,385.565566999969,385.565566999972,385.565566999971,385.56556799997,385.56556799997,385.56556600003,385.56556699996,385.565566931002,385.565566931002,385.565566931002,385.565566931002,385.565566931002,385.565566931002,385.565566399967,385.56556824996,385.56556699997,12.880281,385.565566931002,385.56556699997,385.565567333303,385.565567030266,385.565566387065
"Arapaima_gigas",385.56556799997,385.56556799997,0,250.503055,250.503055,374.288773,374.288771,374.28877200001,374.288771,374.28877199999,374.28877000002,374.288771,374.288772,374.288771,374.288773,374.28876999998,374.288770000002,374.28876899997,374.288769999997,374.288773,374.288770999987,374.28877100002,374.28877199996,374.288769,374.28877,374.288770000005,374.288770000005,374.28877,374.288771000004,374.288771000004,374.288771000003,374.288769999999,374.28876999997,374.288769,374.28876899999,374.28876999997,374.288770000001,374.288769999999,374.288770999997,374.288771000002,374.288771000002,374.288772,374.288770999978,374.288772000008,374.288771000046,374.28877099999,374.288770999999,374.288770999968,374.288772,374.288772,374.288772,374.28877200004,374.288773,374.288772000005,374.288771000004,374.288771,374.288771,374.288771,374.28877099998,374.288773,374.288771,374.288772,374.288772,374.28877100001,374.28876999996,374.288770999998,374.288770999997,374.288772000003,374.288771,374.288771,374.288771,374.288770999996,374.288771,374.28877,374.288771000037,374.288771000003,374.288770999993,374.28876999999,374.28877,374.28877,374.288770000004,374.28877,374.288769999999,374.28877099997,374.288771000021,374.28877199996,374.28877100003,374.28877,374.28877,374.28877,374.288771,374.288771,374.28877,374.28876999997,374.28877100001,374.28877099998,374.288771,374.288771,374.28877,374.28877,374.288769,374.28877000003,374.288770999978,374.288770999998,374.28877,374.288769,374.288770000003,374.288771,374.288771000005,374.288771,374.288771,374.288769999996,374.28877,374.288771,374.288771,374.28877,374.28877,374.28877,374.288770999998,374.28877,374.288768,374.28877,374.288772,374.288772,374.288773,374.288772,374.288771,374.288771000026,374.28876999998,374.288770999997,374.288771,374.28877199994,374.288772000008,374.28877200002,374.28877099999,374.288771,374.288771000039,374.28877,374.28876899999,374.28876899999,374.28876899999,374.28876999995,374.288772000005,374.28877299996,374.288772,374.288772,374.288772,374.28877100001,374.288773000045,374.28877099994,374.28877099994,374.288771,374.288770999997,374.28877,374.288771,374.288771,374.28877,374.28877,374.288773,374.288770999999,374.288771000002,374.288771000001,374.288772,374.288772,374.28877000006,374.28877099999,374.288770931032,374.288770931032,374.288770931032,374.288770931032,374.288770931032,374.288770931032,374.288770399997,374.28877224999,374.288771,385.56556799997,374.288770931032,374.288771,167.002036666667,374.288771030296,374.288770387095
"Notopterus_notopterus",385.56556699997,385.56556699997,250.503055,0,53.784684,374.288772,374.28877,374.28877100001,374.28877,374.28877099999,374.28876900002,374.28877,374.288771,374.28877,374.288772,374.28876899998,374.288769000002,374.28876799997,374.288768999997,374.288772,374.288769999987,374.28877000002,374.28877099996,374.288768,374.288769,374.288769000005,374.288769000005,374.288769,374.288770000004,374.288770000004,374.288770000003,374.288768999999,374.28876899997,374.288768,374.28876799999,374.28876899997,374.288769000001,374.288768999999,374.288769999997,374.288770000002,374.288770000002,374.288771,374.288769999978,374.288771000008,374.288770000046,374.28876999999,374.288769999999,374.288769999968,374.288771,374.288771,374.288771,374.28877100004,374.288772,374.288771000005,374.288770000004,374.28877,374.28877,374.28877,374.28876999998,374.288772,374.28877,374.288771,374.288771,374.28877000001,374.28876899996,374.288769999998,374.288769999997,374.288771000003,374.28877,374.28877,374.28877,374.288769999996,374.28877,374.288769,374.288770000037,374.288770000003,374.288769999993,374.28876899999,374.288769,374.288769,374.288769000004,374.288769,374.288768999999,374.28876999997,374.288770000021,374.28877099996,374.28877000003,374.288769,374.288769,374.288769,374.28877,374.28877,374.288769,374.28876899997,374.28877000001,374.28876999998,374.28877,374.28877,374.288769,374.288769,374.288768,374.28876900003,374.288769999978,374.288769999998,374.288769,374.288768,374.288769000003,374.28877,374.288770000005,374.28877,374.28877,374.288768999996,374.288769,374.28877,374.28877,374.288769,374.288769,374.288769,374.288769999998,374.288769,374.288767,374.288769,374.288771,374.288771,374.288772,374.288771,374.28877,374.288770000026,374.28876899998,374.288769999997,374.28877,374.28877099994,374.288771000008,374.28877100002,374.28876999999,374.28877,374.288770000039,374.288769,374.28876799999,374.28876799999,374.28876799999,374.28876899995,374.288771000005,374.28877199996,374.288771,374.288771,374.288771,374.28877000001,374.288772000045,374.28876999994,374.28876999994,374.28877,374.288769999997,374.288769,374.28877,374.28877,374.288769,374.288769,374.288772,374.288769999999,374.288770000002,374.288770000001,374.288771,374.288771,374.28876900006,374.28876999999,374.288769931032,374.288769931032,374.288769931032,374.288769931032,374.288769931032,374.288769931032,374.288769399997,374.28877124999,374.28877,385.56556699997,374.288769931032,374.28877,101.429246333333,374.288770030296,374.288769387095
"Chitala_chitala",385.56556699997,385.56556699997,250.503055,53.784684,0,374.288772,374.28877,374.28877100001,374.28877,374.28877099999,374.28876900002,374.28877,374.288771,374.28877,374.288772,374.28876899998,374.288769000002,374.28876799997,374.288768999997,374.288772,374.288769999987,374.28877000002,374.28877099996,374.288768,374.288769,374.288769000005,374.288769000005,374.288769,374.288770000004,374.288770000004,374.288770000003,374.288768999999,374.28876899997,374.288768,374.28876799999,374.28876899997,374.288769000001,374.288768999999,374.288769999997,374.288770000002,374.288770000002,374.288771,374.288769999978,374.288771000008,374.288770000046,374.28876999999,374.288769999999,374.288769999968,374.288771,374.288771,374.288771,374.28877100004,374.288772,374.288771000005,374.288770000004,374.28877,374.28877,374.28877,374.28876999998,374.288772,374.28877,374.288771,374.288771,374.28877000001,374.28876899996,374.288769999998,374.288769999997,374.288771000003,374.28877,374.28877,374.28877,374.288769999996,374.28877,374.288769,374.288770000037,374.288770000003,374.288769999993,374.28876899999,374.288769,374.288769,374.288769000004,374.288769,374.288768999999,374.28876999997,374.288770000021,374.28877099996,374.28877000003,374.288769,374.288769,374.288769,374.28877,374.28877,374.288769,374.28876899997,374.28877000001,374.28876999998,374.28877,374.28877,374.288769,374.288769,374.288768,374.28876900003,374.288769999978,374.288769999998,374.288769,374.288768,374.288769000003,374.28877,374.288770000005,374.28877,374.28877,374.288768999996,374.288769,374.28877,374.28877,374.288769,374.288769,374.288769,374.288769999998,374.288769,374.288767,374.288769,374.288771,374.288771,374.288772,374.288771,374.28877,374.288770000026,374.28876899998,374.288769999997,374.28877,374.28877099994,374.288771000008,374.28877100002,374.28876999999,374.28877,374.288770000039,374.288769,374.28876799999,374.28876799999,374.28876799999,374.28876899995,374.288771000005,374.28877199996,374.288771,374.288771,374.288771,374.28877000001,374.288772000045,374.28876999994,374.28876999994,374.28877,374.288769999997,374.288769,374.28877,374.28877,374.288769,374.288769,374.288772,374.288769999999,374.288770000002,374.288770000001,374.288771,374.288771,374.28876900006,374.28876999999,374.288769931032,374.288769931032,374.288769931032,374.288769931032,374.288769931032,374.288769931032,374.288769399997,374.28877124999,374.28877,385.56556699997,374.288769931032,374.28877,101.429246333333,374.288770030296,374.288769387095
"Setipinna_phasa",385.56556899997,385.56556899997,374.288773,374.288772,374.288772,0,203.202472,203.20247300001,203.202472,203.20247299999,203.20247100002,331.610286,331.610287,331.610286,331.610288,331.61028499998,331.610285000002,331.61028399997,331.610284999997,331.610288,331.610285999987,331.61028600002,331.61028699996,331.610284,331.610285,331.610285000005,331.610285000005,331.610285,331.610286000004,331.610286000004,331.610286000003,331.610284999999,331.61028499997,331.610284,331.61028399999,331.61028499997,331.610285000001,331.610284999999,331.610285999996,331.610286000002,331.610286000002,331.610287,331.610285999978,331.610287000008,331.610286000046,331.61028599999,331.610285999999,331.610285999968,331.610287,331.610287,331.610287,331.61028700004,331.610288,331.610287000005,331.610286000004,331.610286,331.610286,331.610286,331.61028599998,331.610288,331.610286,331.610287,331.610287,331.61028600001,331.61028499996,331.610285999998,331.610285999997,331.610287000003,331.610286,331.610286,331.610286,331.610285999996,331.610286,331.610285,331.610286000037,331.610286000003,331.610285999993,331.61028499999,331.610285,331.610285,331.610285000004,331.610285,331.610284999999,331.61028599997,331.610286000021,331.61028699996,331.61028600003,331.610285,331.610285,331.610285,331.610286,331.610286,331.610285,331.61028499997,331.61028600001,331.61028599998,331.610286,331.610286,331.610285,331.610285,331.610284,331.61028500003,331.610285999978,331.610285999998,331.610285,331.610284,331.610285000003,354.954476,354.954476000005,354.954476,354.954476,354.954474999996,354.954475,354.954476,354.954476,354.954475,354.954475,354.954475,354.954475999998,354.954475,354.954473,354.954475,354.954477,354.954477,354.954478,354.954477,354.954476,354.954476000026,354.95447499998,354.954475999997,354.954476,354.95447699994,354.954477000008,354.95447700002,354.95447599999,354.954476,354.954476000039,354.954475,354.95447399999,354.95447399999,354.95447399999,354.95447499995,354.954477000005,354.95447799996,354.954477,354.954477,354.954477,354.95447600001,354.954478000045,354.95447599994,354.95447599994,354.954476,354.954475999997,354.954475,354.954476,354.954476,354.954475,354.954475,354.954478,354.954475999999,354.954476000002,354.954476000001,354.954477,354.954477,354.95447500006,354.95447599999,331.610285931032,331.610285931032,331.610285931032,331.610285931032,331.610285931032,331.610285931032,331.610285399997,354.95447724999,354.954476,385.56556899997,331.610285931032,354.954476,374.288772333333,354.954476030296,331.610285387095
"Gonialosa_manmina",385.56556699997,385.56556699997,374.288771,374.28877,374.28877,203.202472,0,52.27240100001,177.506642,177.50664299999,177.50664100002,331.610284,331.610285,331.610284,331.610286,331.61028299998,331.610283000002,331.61028199997,331.610282999997,331.610286,331.610283999987,331.61028400002,331.61028499996,331.610282,331.610283,331.610283000005,331.610283000005,331.610283,331.610284000004,331.610284000004,331.610284000003,331.610282999999,331.61028299997,331.610282,331.61028199999,331.61028299997,331.610283000001,331.610282999999,331.610283999997,331.610284000002,331.610284000002,331.610285,331.610283999978,331.610285000008,331.610284000046,331.61028399999,331.610283999999,331.610283999968,331.610285,331.610285,331.610285,331.61028500004,331.610286,331.610285000005,331.610284000004,331.610284,331.610284,331.610284,331.61028399998,331.610286,331.610284,331.610285,331.610285,331.61028400001,331.61028299996,331.610283999998,331.610283999997,331.610285000003,331.610284,331.610284,331.610284,331.610283999996,331.610284,331.610283,331.610284000037,331.610284000003,331.610283999993,331.61028299999,331.610283,331.610283,331.610283000004,331.610283,331.610282999999,331.61028399997,331.610284000021,331.61028499996,331.61028400003,331.610283,331.610283,331.610283,331.610284,331.610284,331.610283,331.61028299997,331.61028400001,331.61028399998,331.610284,331.610284,331.610283,331.610283,331.610282,331.61028300003,331.610283999978,331.610283999998,331.610283,331.610282,331.610283000003,354.954474,354.954474000005,354.954474,354.954474,354.954472999996,354.954473,354.954474,354.954474,354.954473,354.954473,354.954473,354.954473999998,354.954473,354.954471,354.954473,354.954475,354.954475,354.954476,354.954475,354.954474,354.954474000026,354.95447299998,354.954473999997,354.954474,354.95447499994,354.954475000008,354.95447500002,354.95447399999,354.954474,354.954474000039,354.954473,354.95447199999,354.95447199999,354.95447199999,354.95447299995,354.954475000005,354.95447599996,354.954475,354.954475,354.954475,354.95447400001,354.954476000045,354.95447399994,354.95447399994,354.954474,354.954473999997,354.954473,354.954474,354.954474,354.954473,354.954473,354.954476,354.954473999999,354.954474000002,354.954474000001,354.954475,354.954475,354.95447300006,354.95447399999,331.610283931032,331.610283931032,331.610283931032,331.610283931032,331.610283931032,331.610283931032,331.610283399997,354.95447524999,354.954474,385.56556699997,331.610283931032,354.954474,374.288770333333,354.954474030296,331.610283387095
"Corica_soborna",385.56556799998,385.56556799998,374.28877200001,374.28877100001,374.28877100001,203.20247300001,52.27240100001,0,177.50664300001,177.506644,177.50664200003,331.61028500001,331.61028600001,331.61028500001,331.61028700001,331.61028399999,331.610284000012,331.61028299998,331.610284000007,331.61028700001,331.610284999997,331.61028500003,331.61028599997,331.61028300001,331.61028400001,331.610284000015,331.610284000015,331.61028400001,331.610285000014,331.610285000014,331.610285000013,331.610284000009,331.61028399998,331.61028300001,331.610283,331.61028399998,331.610284000011,331.610284000009,331.610285000007,331.610285000012,331.610285000012,331.61028600001,331.610284999988,331.610286000018,331.610285000056,331.610285,331.610285000009,331.610284999978,331.61028600001,331.61028600001,331.61028600001,331.61028600005,331.61028700001,331.610286000015,331.610285000014,331.61028500001,331.61028500001,331.61028500001,331.61028499999,331.61028700001,331.61028500001,331.61028600001,331.61028600001,331.61028500002,331.61028399997,331.610285000008,331.610285000007,331.610286000013,331.61028500001,331.61028500001,331.61028500001,331.610285000006,331.61028500001,331.61028400001,331.610285000047,331.610285000013,331.610285000003,331.610284,331.61028400001,331.61028400001,331.610284000014,331.61028400001,331.610284000009,331.61028499998,331.610285000031,331.61028599997,331.61028500004,331.61028400001,331.61028400001,331.61028400001,331.61028500001,331.61028500001,331.61028400001,331.61028399998,331.61028500002,331.61028499999,331.61028500001,331.61028500001,331.61028400001,331.61028400001,331.61028300001,331.61028400004,331.610284999988,331.610285000008,331.61028400001,331.61028300001,331.610284000013,354.95447500001,354.954475000015,354.95447500001,354.95447500001,354.954474000006,354.95447400001,354.95447500001,354.95447500001,354.95447400001,354.95447400001,354.95447400001,354.954475000008,354.95447400001,354.95447200001,354.95447400001,354.95447600001,354.95447600001,354.95447700001,354.95447600001,354.95447500001,354.954475000036,354.95447399999,354.954475000007,354.95447500001,354.95447599995,354.954476000018,354.95447600003,354.954475,354.95447500001,354.954475000049,354.95447400001,354.954473,354.954473,354.954473,354.95447399996,354.954476000015,354.95447699997,354.95447600001,354.95447600001,354.95447600001,354.95447500002,354.954477000055,354.95447499995,354.95447499995,354.95447500001,354.954475000007,354.95447400001,354.95447500001,354.95447500001,354.95447400001,354.95447400001,354.95447700001,354.954475000009,354.954475000012,354.954475000011,354.95447600001,354.95447600001,354.95447400007,354.954475,331.610284931042,331.610284931042,331.610284931042,331.610284931042,331.610284931042,331.610284931042,331.610284400007,354.95447625,354.95447500001,385.56556799998,331.610284931042,354.95447500001,374.288771333343,354.954475030306,331.610284387105
"Tenualosa_ilisha",385.56556699997,385.56556699997,374.288771,374.28877,374.28877,203.202472,177.506642,177.50664300001,0,75.27402699999,92.95244500002,331.610284,331.610285,331.610284,331.610286,331.61028299998,331.610283000002,331.61028199997,331.610282999997,331.610286,331.610283999987,331.61028400002,331.61028499996,331.610282,331.610283,331.610283000005,331.610283000005,331.610283,331.610284000004,331.610284000004,331.610284000003,331.610282999999,331.61028299997,331.610282,331.61028199999,331.61028299997,331.610283000001,331.610282999999,331.610283999997,331.610284000002,331.610284000002,331.610285,331.610283999978,331.610285000008,331.610284000046,331.61028399999,331.610283999999,331.610283999968,331.610285,331.610285,331.610285,331.61028500004,331.610286,331.610285000005,331.610284000004,331.610284,331.610284,331.610284,331.61028399998,331.610286,331.610284,331.610285,331.610285,331.61028400001,331.61028299996,331.610283999998,331.610283999997,331.610285000003,331.610284,331.610284,331.610284,331.610283999996,331.610284,331.610283,331.610284000037,331.610284000003,331.610283999993,331.61028299999,331.610283,331.610283,331.610283000004,331.610283,331.610282999999,331.61028399997,331.610284000021,331.61028499996,331.61028400003,331.610283,331.610283,331.610283,331.610284,331.610284,331.610283,331.61028299997,331.61028400001,331.61028399998,331.610284,331.610284,331.610283,331.610283,331.610282,331.61028300003,331.610283999978,331.610283999998,331.610283,331.610282,331.610283000003,354.954474,354.954474000005,354.954474,354.954474,354.954472999996,354.954473,354.954474,354.954474,354.954473,354.954473,354.954473,354.954473999998,354.954473,354.954471,354.954473,354.954475,354.954475,354.954476,354.954475,354.954474,354.954474000026,354.95447299998,354.954473999997,354.954474,354.95447499994,354.954475000008,354.95447500002,354.95447399999,354.954474,354.954474000039,354.954473,354.95447199999,354.95447199999,354.95447199999,354.95447299995,354.954475000005,354.95447599996,354.954475,354.954475,354.954475,354.95447400001,354.954476000045,354.95447399994,354.95447399994,354.954474,354.954473999997,354.954473,354.954474,354.954474,354.954473,354.954473,354.954476,354.954473999999,354.954474000002,354.954474000001,354.954475,354.954475,354.95447300006,354.95447399999,331.610283931032,331.610283931032,331.610283931032,331.610283931032,331.610283931032,331.610283931032,331.610283399997,354.95447524999,354.954474,385.56556699997,331.610283931032,354.954474,374.288770333333,354.954474030296,331.610283387095
"Clupeoides_borneensis",385.56556799996,385.56556799996,374.28877199999,374.28877099999,374.28877099999,203.20247299999,177.50664299999,177.506644,75.27402699999,0,92.95244600001,331.61028499999,331.61028599999,331.61028499999,331.61028699999,331.61028399997,331.610283999992,331.61028299996,331.610283999987,331.61028699999,331.610284999977,331.61028500001,331.61028599995,331.61028299999,331.61028399999,331.610283999995,331.610283999995,331.61028399999,331.610284999994,331.610284999994,331.610284999993,331.610283999989,331.61028399996,331.61028299999,331.61028299998,331.61028399996,331.610283999991,331.610283999989,331.610284999987,331.610284999992,331.610284999992,331.61028599999,331.610284999968,331.610285999998,331.610285000036,331.61028499998,331.610284999989,331.610284999958,331.61028599999,331.61028599999,331.61028599999,331.61028600003,331.61028699999,331.610285999995,331.610284999994,331.61028499999,331.61028499999,331.61028499999,331.61028499997,331.61028699999,331.61028499999,331.61028599999,331.61028599999,331.610285,331.61028399995,331.610284999988,331.610284999987,331.610285999993,331.61028499999,331.61028499999,331.61028499999,331.610284999986,331.61028499999,331.61028399999,331.610285000027,331.610284999993,331.610284999983,331.61028399998,331.61028399999,331.61028399999,331.610283999994,331.61028399999,331.610283999989,331.61028499996,331.610285000011,331.61028599995,331.61028500002,331.61028399999,331.61028399999,331.61028399999,331.61028499999,331.61028499999,331.61028399999,331.61028399996,331.610285,331.61028499997,331.61028499999,331.61028499999,331.61028399999,331.61028399999,331.61028299999,331.61028400002,331.610284999968,331.610284999988,331.61028399999,331.61028299999,331.610283999993,354.95447499999,354.954474999995,354.95447499999,354.95447499999,354.954473999986,354.95447399999,354.95447499999,354.95447499999,354.95447399999,354.95447399999,354.95447399999,354.954474999988,354.95447399999,354.95447199999,354.95447399999,354.95447599999,354.95447599999,354.95447699999,354.95447599999,354.95447499999,354.954475000016,354.95447399997,354.954474999987,354.95447499999,354.95447599993,354.954475999998,354.95447600001,354.95447499998,354.95447499999,354.954475000029,354.95447399999,354.95447299998,354.95447299998,354.95447299998,354.95447399994,354.954475999995,354.95447699995,354.95447599999,354.95447599999,354.95447599999,354.954475,354.954477000035,354.95447499993,354.95447499993,354.95447499999,354.954474999987,354.95447399999,354.95447499999,354.95447499999,354.95447399999,354.95447399999,354.95447699999,354.954474999989,354.954474999992,354.954474999991,354.95447599999,354.95447599999,354.95447400005,354.95447499998,331.610284931022,331.610284931022,331.610284931022,331.610284931022,331.610284931022,331.610284931022,331.610284399987,354.95447624998,354.95447499999,385.56556799996,331.610284931022,354.95447499999,374.288771333323,354.954475030286,331.610284387085
