"","source","year","geographic_location_cleaned","hdi","demers_pelag","env_temp","form_clean","species_from_search","family","paper_id","nutrient","value","SpecCode","Order","DemersPelag","DepthRangeDeep","BodyShapeI","Lmax","EnvTemp","TL","K","tm","Habitat","pelagic"
"22","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mastacembelus armatus","Mastacembelidae","Bogard_12","Calcium",449,10140,"Synbranchiformes","demersal",NA,"elongate",90,"tropical",2.78,0.249363225343264,2.81317478563042,"Freshwater",0
"23","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mastacembelus armatus","Mastacembelidae","Bogard_12","Iron",1.9,10140,"Synbranchiformes","demersal",NA,"elongate",90,"tropical",2.78,0.249363225343264,2.81317478563042,"Freshwater",0
"24","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mastacembelus armatus","Mastacembelidae","Bogard_12","Selenium",12,10140,"Synbranchiformes","demersal",NA,"elongate",90,"tropical",2.78,0.249363225343264,2.81317478563042,"Freshwater",0
"25","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mastacembelus armatus","Mastacembelidae","Bogard_12","Vitamin A",27,10140,"Synbranchiformes","demersal",NA,"elongate",90,"tropical",2.78,0.249363225343264,2.81317478563042,"Freshwater",0
"26","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Glossogobius giuris","Gobiidae","Bogard_12","Protein",16.6,4833,"Perciformes","benthopelagic",5,"fusiform",50,"tropical",3.66,0.778,0.903706419230741,"Brackish",0
"27","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Glossogobius giuris","Gobiidae","Bogard_12","Zinc",2.1,4833,"Perciformes","benthopelagic",5,"fusiform",50,"tropical",3.66,0.778,0.903706419230741,"Brackish",0
"28","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Glossogobius giuris","Gobiidae","Bogard_12","Calcium",790,4833,"Perciformes","benthopelagic",5,"fusiform",50,"tropical",3.66,0.778,0.903706419230741,"Brackish",0
"29","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Glossogobius giuris","Gobiidae","Bogard_12","Iron",2.3,4833,"Perciformes","benthopelagic",5,"fusiform",50,"tropical",3.66,0.778,0.903706419230741,"Brackish",0
"30","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Glossogobius giuris","Gobiidae","Bogard_12","Selenium",31,4833,"Perciformes","benthopelagic",5,"fusiform",50,"tropical",3.66,0.778,0.903706419230741,"Brackish",0
"31","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Glossogobius giuris","Gobiidae","Bogard_12","Vitamin A",18,4833,"Perciformes","benthopelagic",5,"fusiform",50,"tropical",3.66,0.778,0.903706419230741,"Brackish",0
"32","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Trichogaster fasciata","Gourami","Bogard_12","Protein",15.2,4770,"Perciformes","benthopelagic",NA,"short_deep",12.5,"tropical",3.06,0.9,1.0023666947419,"Freshwater",0
"33","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Trichogaster fasciata","Gourami","Bogard_12","Zinc",2.3,4770,"Perciformes","benthopelagic",NA,"short_deep",12.5,"tropical",3.06,0.9,1.0023666947419,"Freshwater",0
"34","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Trichogaster fasciata","Gourami","Bogard_12","Calcium",1700,4770,"Perciformes","benthopelagic",NA,"short_deep",12.5,"tropical",3.06,0.9,1.0023666947419,"Freshwater",0
"35","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Trichogaster fasciata","Gourami","Bogard_12","Iron",4.1,4770,"Perciformes","benthopelagic",NA,"short_deep",12.5,"tropical",3.06,0.9,1.0023666947419,"Freshwater",0
"36","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Trichogaster fasciata","Gourami","Bogard_12","Selenium",26,4770,"Perciformes","benthopelagic",NA,"short_deep",12.5,"tropical",3.06,0.9,1.0023666947419,"Freshwater",0
"37","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Trichogaster fasciata","Gourami","Bogard_12","Vitamin A",46,4770,"Perciformes","benthopelagic",NA,"short_deep",12.5,"tropical",3.06,0.9,1.0023666947419,"Freshwater",0
"38","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Parambassis ranga","Ambassidae","Bogard_12","Protein",15.5,10130,"Perciformes","demersal",NA,"short_deep",8,"tropical",3.27,0.616666666666667,0.947271399466143,"Freshwater",0
"39","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Parambassis ranga","Ambassidae","Bogard_12","Zinc",2.6,10130,"Perciformes","demersal",NA,"short_deep",8,"tropical",3.27,0.616666666666667,0.947271399466143,"Freshwater",0
"40","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Parambassis ranga","Ambassidae","Bogard_12","Calcium",1153,10130,"Perciformes","demersal",NA,"short_deep",8,"tropical",3.27,0.616666666666667,0.947271399466143,"Freshwater",0
"41","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Parambassis ranga","Ambassidae","Bogard_12","Iron",2.1,10130,"Perciformes","demersal",NA,"short_deep",8,"tropical",3.27,0.616666666666667,0.947271399466143,"Freshwater",0
"42","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Parambassis ranga","Ambassidae","Bogard_12","Selenium",22,10130,"Perciformes","demersal",NA,"short_deep",8,"tropical",3.27,0.616666666666667,0.947271399466143,"Freshwater",0
"43","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Parambassis ranga","Ambassidae","Bogard_12","Vitamin A",336,10130,"Perciformes","demersal",NA,"short_deep",8,"tropical",3.27,0.616666666666667,0.947271399466143,"Freshwater",0
"44","WoS",2015,"Bangladesh","Medium","pelagic","subtropical","whole","Gudusia chapra","Clupeidae","Bogard_12","Protein",15.5,1601,"Clupeiformes","pelagic",NA,"fusiform",20,"tropical",3.12,1.29333333333333,1.19487854411039,"Freshwater",1
"45","WoS",2015,"Bangladesh","Medium","pelagic","subtropical","whole","Gudusia chapra","Clupeidae","Bogard_12","Zinc",2.1,1601,"Clupeiformes","pelagic",NA,"fusiform",20,"tropical",3.12,1.29333333333333,1.19487854411039,"Freshwater",1
"46","WoS",2015,"Bangladesh","Medium","pelagic","subtropical","whole","Gudusia chapra","Clupeidae","Bogard_12","Calcium",1063,1601,"Clupeiformes","pelagic",NA,"fusiform",20,"tropical",3.12,1.29333333333333,1.19487854411039,"Freshwater",1
"47","WoS",2015,"Bangladesh","Medium","pelagic","subtropical","whole","Gudusia chapra","Clupeidae","Bogard_12","Iron",7.6,1601,"Clupeiformes","pelagic",NA,"fusiform",20,"tropical",3.12,1.29333333333333,1.19487854411039,"Freshwater",1
"48","WoS",2015,"Bangladesh","Medium","pelagic","subtropical","whole","Gudusia chapra","Clupeidae","Bogard_12","Selenium",13.4,1601,"Clupeiformes","pelagic",NA,"fusiform",20,"tropical",3.12,1.29333333333333,1.19487854411039,"Freshwater",1
"49","WoS",2015,"Bangladesh","Medium","pelagic","subtropical","whole","Gudusia chapra","Clupeidae","Bogard_12","Vitamin A",73,1601,"Clupeiformes","pelagic",NA,"fusiform",20,"tropical",3.12,1.29333333333333,1.19487854411039,"Freshwater",1
"50","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Chela cachius","Cyprinidae","Bogard_12","Protein",15.2,13220,"Cypriniformes","benthopelagic",NA,"fusiform",9.6,"tropical",3.17,0.292563554606402,1.82318044592642,"Freshwater",0
"51","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Chela cachius","Cyprinidae","Bogard_12","Zinc",4.7,13220,"Cypriniformes","benthopelagic",NA,"fusiform",9.6,"tropical",3.17,0.292563554606402,1.82318044592642,"Freshwater",0
"52","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Chela cachius","Cyprinidae","Bogard_12","Calcium",1000,13220,"Cypriniformes","benthopelagic",NA,"fusiform",9.6,"tropical",3.17,0.292563554606402,1.82318044592642,"Freshwater",0
"53","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Chela cachius","Cyprinidae","Bogard_12","Iron",0.84,13220,"Cypriniformes","benthopelagic",NA,"fusiform",9.6,"tropical",3.17,0.292563554606402,1.82318044592642,"Freshwater",0
"54","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Chela cachius","Cyprinidae","Bogard_12","Selenium",32,13220,"Cypriniformes","benthopelagic",NA,"fusiform",9.6,"tropical",3.17,0.292563554606402,1.82318044592642,"Freshwater",0
"55","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Chela cachius","Cyprinidae","Bogard_12","Vitamin A",132,13220,"Cypriniformes","benthopelagic",NA,"fusiform",9.6,"tropical",3.17,0.292563554606402,1.82318044592642,"Freshwater",0
"56","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Esomus danrica","Cyprinidae","Bogard_12","Protein",15.5,5150,"Cypriniformes","benthopelagic",NA,"fusiform",13,"tropical",2.41,0.292563554606402,1.82318044592642,"Freshwater",0
"57","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Esomus danrica","Cyprinidae","Bogard_12","Zinc",4,5150,"Cypriniformes","benthopelagic",NA,"fusiform",13,"tropical",2.41,0.292563554606402,1.82318044592642,"Freshwater",0
"58","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Esomus danrica","Cyprinidae","Bogard_12","Calcium",891,5150,"Cypriniformes","benthopelagic",NA,"fusiform",13,"tropical",2.41,0.292563554606402,1.82318044592642,"Freshwater",0
"59","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Esomus danrica","Cyprinidae","Bogard_12","Iron",12,5150,"Cypriniformes","benthopelagic",NA,"fusiform",13,"tropical",2.41,0.292563554606402,1.82318044592642,"Freshwater",0
"60","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Esomus danrica","Cyprinidae","Bogard_12","Selenium",12,5150,"Cypriniformes","benthopelagic",NA,"fusiform",13,"tropical",2.41,0.292563554606402,1.82318044592642,"Freshwater",0
"61","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Esomus danrica","Cyprinidae","Bogard_12","Vitamin A",660,5150,"Cypriniformes","benthopelagic",NA,"fusiform",13,"tropical",2.41,0.292563554606402,1.82318044592642,"Freshwater",0
"62","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Osteobrama cotio","Cyprinidae","Bogard_12","Protein",14.7,13187,"Cypriniformes","benthopelagic",NA,"fusiform",15,"tropical",2.77,0.292563554606402,1.82318044592642,"Freshwater",0
"63","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Osteobrama cotio","Cyprinidae","Bogard_12","Zinc",3.7,13187,"Cypriniformes","benthopelagic",NA,"fusiform",15,"tropical",2.77,0.292563554606402,1.82318044592642,"Freshwater",0
"64","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Osteobrama cotio","Cyprinidae","Bogard_12","Calcium",1200,13187,"Cypriniformes","benthopelagic",NA,"fusiform",15,"tropical",2.77,0.292563554606402,1.82318044592642,"Freshwater",0
"65","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Osteobrama cotio","Cyprinidae","Bogard_12","Iron",1.8,13187,"Cypriniformes","benthopelagic",NA,"fusiform",15,"tropical",2.77,0.292563554606402,1.82318044592642,"Freshwater",0
"66","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Osteobrama cotio","Cyprinidae","Bogard_12","Selenium",29,13187,"Cypriniformes","benthopelagic",NA,"fusiform",15,"tropical",2.77,0.292563554606402,1.82318044592642,"Freshwater",0
"67","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Osteobrama cotio","Cyprinidae","Bogard_12","Vitamin A",918,13187,"Cypriniformes","benthopelagic",NA,"fusiform",15,"tropical",2.77,0.292563554606402,1.82318044592642,"Freshwater",0
"68","WoS",2015,"Bangladesh","Medium","pelagic-neritic","tropical","whole","Hyporhamphus limbatus","Hemiramphidae","Bogard_12","Protein",17.9,8313,"Beloniformes","pelagic_neritic",NA,"elongate",35,"tropical",3.11,0.78567149662946,1.41939247570315,"Brackish",1
"69","WoS",2015,"Bangladesh","Medium","pelagic-neritic","tropical","whole","Hyporhamphus limbatus","Hemiramphidae","Bogard_12","Zinc",3.6,8313,"Beloniformes","pelagic_neritic",NA,"elongate",35,"tropical",3.11,0.78567149662946,1.41939247570315,"Brackish",1
"70","WoS",2015,"Bangladesh","Medium","pelagic-neritic","tropical","whole","Hyporhamphus limbatus","Hemiramphidae","Bogard_12","Calcium",1300,8313,"Beloniformes","pelagic_neritic",NA,"elongate",35,"tropical",3.11,0.78567149662946,1.41939247570315,"Brackish",1
"71","WoS",2015,"Bangladesh","Medium","pelagic-neritic","tropical","whole","Hyporhamphus limbatus","Hemiramphidae","Bogard_12","Iron",1.5,8313,"Beloniformes","pelagic_neritic",NA,"elongate",35,"tropical",3.11,0.78567149662946,1.41939247570315,"Brackish",1
"72","WoS",2015,"Bangladesh","Medium","pelagic-neritic","tropical","whole","Hyporhamphus limbatus","Hemiramphidae","Bogard_12","Selenium",28,8313,"Beloniformes","pelagic_neritic",NA,"elongate",35,"tropical",3.11,0.78567149662946,1.41939247570315,"Brackish",1
"73","WoS",2015,"Bangladesh","Medium","pelagic-neritic","tropical","whole","Hyporhamphus limbatus","Hemiramphidae","Bogard_12","Vitamin A",98,8313,"Beloniformes","pelagic_neritic",NA,"elongate",35,"tropical",3.11,0.78567149662946,1.41939247570315,"Brackish",1
"74","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Notopterus notopterus","Notopteridae","Bogard_12","Protein",20.5,7990,"Osteoglossiformes","demersal",NA,"elongate",60,"tropical",3.57,0.259042973780053,2.67697965623905,"Freshwater",0
"75","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Notopterus notopterus","Notopteridae","Bogard_12","Zinc",1.6,7990,"Osteoglossiformes","demersal",NA,"elongate",60,"tropical",3.57,0.259042973780053,2.67697965623905,"Freshwater",0
"76","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Notopterus notopterus","Notopteridae","Bogard_12","Calcium",230,7990,"Osteoglossiformes","demersal",NA,"elongate",60,"tropical",3.57,0.259042973780053,2.67697965623905,"Freshwater",0
"77","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Notopterus notopterus","Notopteridae","Bogard_12","Iron",1.7,7990,"Osteoglossiformes","demersal",NA,"elongate",60,"tropical",3.57,0.259042973780053,2.67697965623905,"Freshwater",0
"78","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Notopterus notopterus","Notopteridae","Bogard_12","Selenium",22,7990,"Osteoglossiformes","demersal",NA,"elongate",60,"tropical",3.57,0.259042973780053,2.67697965623905,"Freshwater",0
"79","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mystus cavasius","Bagridae","Bogard_12","Protein",16.8,5140,"Siluriformes","demersal",NA,"elongate",40,"tropical",3.44,0.486922392551123,1.30164838875082,"Brackish",0
"80","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mystus cavasius","Bagridae","Bogard_12","Zinc",1.3,5140,"Siluriformes","demersal",NA,"elongate",40,"tropical",3.44,0.486922392551123,1.30164838875082,"Brackish",0
"81","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mystus cavasius","Bagridae","Bogard_12","Calcium",120,5140,"Siluriformes","demersal",NA,"elongate",40,"tropical",3.44,0.486922392551123,1.30164838875082,"Brackish",0
"82","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mystus cavasius","Bagridae","Bogard_12","Iron",1.8,5140,"Siluriformes","demersal",NA,"elongate",40,"tropical",3.44,0.486922392551123,1.30164838875082,"Brackish",0
"83","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Mystus cavasius","Bagridae","Bogard_12","Selenium",41,5140,"Siluriformes","demersal",NA,"elongate",40,"tropical",3.44,0.486922392551123,1.30164838875082,"Brackish",0
"84","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Macrognathus pancalus","Mastacembelidae","Bogard_12","Protein",17.9,10147,"Synbranchiformes","benthopelagic",NA,"elongate",18,"tropical",3.52,1.1375,0.877235555513701,"Freshwater",0
"85","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Macrognathus pancalus","Mastacembelidae","Bogard_12","Zinc",1.3,10147,"Synbranchiformes","benthopelagic",NA,"elongate",18,"tropical",3.52,1.1375,0.877235555513701,"Freshwater",0
"86","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Macrognathus pancalus","Mastacembelidae","Bogard_12","Calcium",491,10147,"Synbranchiformes","benthopelagic",NA,"elongate",18,"tropical",3.52,1.1375,0.877235555513701,"Freshwater",0
"87","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Macrognathus pancalus","Mastacembelidae","Bogard_12","Iron",2.7,10147,"Synbranchiformes","benthopelagic",NA,"elongate",18,"tropical",3.52,1.1375,0.877235555513701,"Freshwater",0
"88","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Macrognathus pancalus","Mastacembelidae","Bogard_12","Selenium",45,10147,"Synbranchiformes","benthopelagic",NA,"elongate",18,"tropical",3.52,1.1375,0.877235555513701,"Freshwater",0
"89","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Macrognathus pancalus","Mastacembelidae","Bogard_12","Vitamin A",78,10147,"Synbranchiformes","benthopelagic",NA,"elongate",18,"tropical",3.52,1.1375,0.877235555513701,"Freshwater",0
"90","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Lepidocephalichthys guntea","Cobitidae","Bogard_12","Protein",17.2,5336,"Cypriniformes","demersal",NA,"elongate",15,"tropical",2.68,0.71,1.13326913855397,"Brackish",0
"91","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Lepidocephalichthys guntea","Cobitidae","Bogard_12","Zinc",2.5,5336,"Cypriniformes","demersal",NA,"elongate",15,"tropical",2.68,0.71,1.13326913855397,"Brackish",0
"92","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Lepidocephalichthys guntea","Cobitidae","Bogard_12","Calcium",950,5336,"Cypriniformes","demersal",NA,"elongate",15,"tropical",2.68,0.71,1.13326913855397,"Brackish",0
"93","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Lepidocephalichthys guntea","Cobitidae","Bogard_12","Iron",3.3,5336,"Cypriniformes","demersal",NA,"elongate",15,"tropical",2.68,0.71,1.13326913855397,"Brackish",0
"94","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Lepidocephalichthys guntea","Cobitidae","Bogard_12","Selenium",36,5336,"Cypriniformes","demersal",NA,"elongate",15,"tropical",2.68,0.71,1.13326913855397,"Brackish",0
"95","WoS",2015,"Bangladesh","Medium","demersal","tropical","whole","Lepidocephalichthys guntea","Cobitidae","Bogard_12","Vitamin A",76,5336,"Cypriniformes","demersal",NA,"elongate",15,"tropical",2.68,0.71,1.13326913855397,"Brackish",0
"96","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Puntius sophore","Cyprinidae","Bogard_12","Protein",15.7,10137,"Cypriniformes","benthopelagic",NA,"fusiform",20,"tropical",2.63,1.16272727272727,0.568682689613082,"Mixed",0
"97","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Puntius sophore","Cyprinidae","Bogard_12","Zinc",2.9,10137,"Cypriniformes","benthopelagic",NA,"fusiform",20,"tropical",2.63,1.16272727272727,0.568682689613082,"Mixed",0
"98","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Puntius sophore","Cyprinidae","Bogard_12","Calcium",1042,10137,"Cypriniformes","benthopelagic",NA,"fusiform",20,"tropical",2.63,1.16272727272727,0.568682689613082,"Mixed",0
"99","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Puntius sophore","Cyprinidae","Bogard_12","Iron",2.2,10137,"Cypriniformes","benthopelagic",NA,"fusiform",20,"tropical",2.63,1.16272727272727,0.568682689613082,"Mixed",0
"100","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Puntius sophore","Cyprinidae","Bogard_12","Selenium",9.5,10137,"Cypriniformes","benthopelagic",NA,"fusiform",20,"tropical",2.63,1.16272727272727,0.568682689613082,"Mixed",0
"101","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Puntius sophore","Cyprinidae","Bogard_12","Vitamin A",54,10137,"Cypriniformes","benthopelagic",NA,"fusiform",20,"tropical",2.63,1.16272727272727,0.568682689613082,"Mixed",0
"102","WoS",2015,"Bangladesh","Medium","benthopelagic","tropical","whole","Puntius sophore","Cyprinidae","Bogard_12","Omega-3",0.329,10137,"Cypriniformes","benthopelagic",NA,"fusiform",20,"tropical",2.63,1.16272727272727,0.568682689613082,"Mixed",0
"103","WoS",2015,"Bangladesh","Medium","pelagic-neritic","tropical","whole","Corica soborna","Clupeidae","Bogard_12","Protein",11.9,1566,"Clupeiformes","pelagic_neritic",NA,"fusiform",5.3,"tropical",3.06,0.72509677501499,1.68643105690157,"Freshwater",1
"104","WoS",2015,"Bangladesh","Medium","pelagic-neritic","tropical","whole","Corica soborna","Clupeidae","Bogard_12","Zinc",3.1,1566,"Clupeiformes","pelagic_neritic",NA,"fusiform",5.3,"tropical",3.06,0.72509677501499,1.68643105690157,"Freshwater",1
"105","WoS",2015,"Bangladesh","Medium","pelagic-neritic","tropical","whole","Corica soborna","Clupeidae","Bogard_12","Calcium",476,1566,"Clupeiformes","pelagic_neritic",NA,"fusiform",5.3,"tropical",3.06,0.72509677501499,1.68643105690157,"Freshwater",1
"106","WoS",2015,"Bangladesh","Medium","pelagic-neritic","tropical","whole","Corica soborna","Clupeidae","Bogard_12","Iron",2.8,1566,"Clupeiformes","pelagic_neritic",NA,"fusiform",5.3,"tropical",3.06,0.72509677501499,1.68643105690157,"Freshwater",1
