,id_number,source,year,geographic_location_cleaned,hdi,demers_pelag,env_temp,form_clean,species_from_search,family,paper_id,nutrient,value,nut,species_short,species,country_sampled
34,A_21,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Trichogaster fasciata,Gourami,Bogard_12,Calcium,1700,ca,T. fas.,Trichogaster fasciata,Bangladesh
35,A_21,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Trichogaster fasciata,Gourami,Bogard_12,Iron,4.1,fe,T. fas.,Trichogaster fasciata,Bangladesh
36,A_21,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Trichogaster fasciata,Gourami,Bogard_12,Selenium,26,se,T. fas.,Trichogaster fasciata,Bangladesh
37,A_21,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Trichogaster fasciata,Gourami,Bogard_12,Vitamin A,46,vit_a,T. fas.,Trichogaster fasciata,Bangladesh
38,A_22,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Parambassis ranga,Ambassidae,Bogard_12,Protein,15.5,protein,P. ran.,Parambassis ranga,Bangladesh
39,A_22,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Parambassis ranga,Ambassidae,Bogard_12,Zinc,2.6,zn,P. ran.,Parambassis ranga,Bangladesh
40,A_22,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Parambassis ranga,Ambassidae,Bogard_12,Calcium,1153,ca,P. ran.,Parambassis ranga,Bangladesh
41,A_22,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Parambassis ranga,Ambassidae,Bogard_12,Iron,2.1,fe,P. ran.,Parambassis ranga,Bangladesh
42,A_22,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Parambassis ranga,Ambassidae,Bogard_12,Selenium,22,se,P. ran.,Parambassis ranga,Bangladesh
43,A_22,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Parambassis ranga,Ambassidae,Bogard_12,Vitamin A,336,vit_a,P. ran.,Parambassis ranga,Bangladesh
44,A_23,WoS,2015,Bangladesh,Medium,pelagic,subtropical,whole (minus parts)*,Gudusia chapra,Clupeidae,Bogard_12,Protein,15.5,protein,G. cha.,Gudusia chapra,Bangladesh
45,A_23,WoS,2015,Bangladesh,Medium,pelagic,subtropical,whole (minus parts)*,Gudusia chapra,Clupeidae,Bogard_12,Zinc,2.1,zn,G. cha.,Gudusia chapra,Bangladesh
46,A_23,WoS,2015,Bangladesh,Medium,pelagic,subtropical,whole (minus parts)*,Gudusia chapra,Clupeidae,Bogard_12,Calcium,1063,ca,G. cha.,Gudusia chapra,Bangladesh
47,A_23,WoS,2015,Bangladesh,Medium,pelagic,subtropical,whole (minus parts)*,Gudusia chapra,Clupeidae,Bogard_12,Iron,7.6,fe,G. cha.,Gudusia chapra,Bangladesh
48,A_23,WoS,2015,Bangladesh,Medium,pelagic,subtropical,whole (minus parts)*,Gudusia chapra,Clupeidae,Bogard_12,Selenium,13.4,se,G. cha.,Gudusia chapra,Bangladesh
49,A_23,WoS,2015,Bangladesh,Medium,pelagic,subtropical,whole (minus parts)*,Gudusia chapra,Clupeidae,Bogard_12,Vitamin A,73,vit_a,G. cha.,Gudusia chapra,Bangladesh
50,A_24,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Chela cachius,Cyprinidae,Bogard_12,Protein,15.2,protein,C. cac.,Chela cachius,Bangladesh
51,A_24,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Chela cachius,Cyprinidae,Bogard_12,Zinc,4.7,zn,C. cac.,Chela cachius,Bangladesh
52,A_24,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Chela cachius,Cyprinidae,Bogard_12,Calcium,1000,ca,C. cac.,Chela cachius,Bangladesh
53,A_24,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Chela cachius,Cyprinidae,Bogard_12,Iron,0.84,fe,C. cac.,Chela cachius,Bangladesh
54,A_24,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Chela cachius,Cyprinidae,Bogard_12,Selenium,32,se,C. cac.,Chela cachius,Bangladesh
55,A_24,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Chela cachius,Cyprinidae,Bogard_12,Vitamin A,132,vit_a,C. cac.,Chela cachius,Bangladesh
56,A_25,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Esomus danrica,Cyprinidae,Bogard_12,Protein,15.5,protein,E. dan.,Esomus danrica,Bangladesh
57,A_25,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Esomus danrica,Cyprinidae,Bogard_12,Zinc,4,zn,E. dan.,Esomus danrica,Bangladesh
58,A_25,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Esomus danrica,Cyprinidae,Bogard_12,Calcium,891,ca,E. dan.,Esomus danrica,Bangladesh
59,A_25,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Esomus danrica,Cyprinidae,Bogard_12,Iron,12,fe,E. dan.,Esomus danrica,Bangladesh
60,A_25,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Esomus danrica,Cyprinidae,Bogard_12,Selenium,12,se,E. dan.,Esomus danrica,Bangladesh
61,A_25,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Esomus danrica,Cyprinidae,Bogard_12,Vitamin A,660,vit_a,E. dan.,Esomus danrica,Bangladesh
62,A_26,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Osteobrama cotio,Cyprinidae,Bogard_12,Protein,14.7,protein,O. cot.,Osteobrama cotio,Bangladesh
63,A_26,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Osteobrama cotio,Cyprinidae,Bogard_12,Zinc,3.7,zn,O. cot.,Osteobrama cotio,Bangladesh
64,A_26,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Osteobrama cotio,Cyprinidae,Bogard_12,Calcium,1200,ca,O. cot.,Osteobrama cotio,Bangladesh
65,A_26,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Osteobrama cotio,Cyprinidae,Bogard_12,Iron,1.8,fe,O. cot.,Osteobrama cotio,Bangladesh
66,A_26,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Osteobrama cotio,Cyprinidae,Bogard_12,Selenium,29,se,O. cot.,Osteobrama cotio,Bangladesh
67,A_26,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Osteobrama cotio,Cyprinidae,Bogard_12,Vitamin A,918,vit_a,O. cot.,Osteobrama cotio,Bangladesh
68,A_27,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole (minus parts)*,Hyporhamphus limbatus,Hemiramphidae,Bogard_12,Protein,17.9,protein,H. lim.,Hyporhamphus limbatus,Bangladesh
69,A_27,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole (minus parts)*,Hyporhamphus limbatus,Hemiramphidae,Bogard_12,Zinc,3.6,zn,H. lim.,Hyporhamphus limbatus,Bangladesh
70,A_27,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole (minus parts)*,Hyporhamphus limbatus,Hemiramphidae,Bogard_12,Calcium,1300,ca,H. lim.,Hyporhamphus limbatus,Bangladesh
71,A_27,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole (minus parts)*,Hyporhamphus limbatus,Hemiramphidae,Bogard_12,Iron,1.5,fe,H. lim.,Hyporhamphus limbatus,Bangladesh
72,A_27,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole (minus parts)*,Hyporhamphus limbatus,Hemiramphidae,Bogard_12,Selenium,28,se,H. lim.,Hyporhamphus limbatus,Bangladesh
73,A_27,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole (minus parts)*,Hyporhamphus limbatus,Hemiramphidae,Bogard_12,Vitamin A,98,vit_a,H. lim.,Hyporhamphus limbatus,Bangladesh
74,A_28,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Notopterus notopterus,Notopteridae,Bogard_12,Protein,20.5,protein,N. not.,Notopterus notopterus,Bangladesh
75,A_28,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Notopterus notopterus,Notopteridae,Bogard_12,Zinc,1.6,zn,N. not.,Notopterus notopterus,Bangladesh
76,A_28,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Notopterus notopterus,Notopteridae,Bogard_12,Calcium,230,ca,N. not.,Notopterus notopterus,Bangladesh
77,A_28,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Notopterus notopterus,Notopteridae,Bogard_12,Iron,1.7,fe,N. not.,Notopterus notopterus,Bangladesh
78,A_28,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Notopterus notopterus,Notopteridae,Bogard_12,Selenium,22,se,N. not.,Notopterus notopterus,Bangladesh
