,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
ExMu[452],2.175,1.031,0.381,3.82,0.072,0.051,208.0,208.0,94.0,284.0,1.04
ExMu[453],1.043,0.292,0.531,1.608,0.029,0.02,104.0,104.0,83.0,160.0,1.03
ExMu[454],0.986,0.276,0.519,1.543,0.03,0.021,86.0,86.0,71.0,95.0,1.04
ExMu[455],0.594,0.106,0.397,0.791,0.007,0.005,260.0,260.0,172.0,2373.0,1.02
ExMu[456],0.655,0.112,0.452,0.874,0.003,0.002,1472.0,1461.0,1372.0,2679.0,1.07
ExMu[457],1.111,0.59,0.273,2.113,0.017,0.012,1256.0,1256.0,317.0,1157.0,1.05
ExMu[458],1.879,1.141,0.499,3.962,0.101,0.072,128.0,128.0,179.0,1877.0,1.03
ExMu[459],7.766,2.174,3.949,11.456,0.336,0.239,42.0,42.0,43.0,993.0,1.06
ExMu[460],1.144,0.408,0.41,1.791,0.053,0.038,59.0,59.0,43.0,1670.0,1.06
ExMu[461],1.535,0.778,0.441,2.771,0.026,0.019,875.0,875.0,217.0,1311.0,1.04
ExMu[462],1.572,0.567,0.668,2.597,0.02,0.014,770.0,770.0,796.0,1729.0,1.06
ExMu[463],0.912,0.363,0.473,1.611,0.051,0.036,52.0,52.0,31.0,1574.0,1.09
ExMu[464],1.38,0.527,0.548,2.368,0.011,0.008,2391.0,2391.0,968.0,2075.0,1.04
ExMu[465],1.413,0.253,0.961,1.899,0.01,0.007,661.0,661.0,626.0,2846.0,1.03
ExMu[466],1.386,0.61,0.474,2.519,0.014,0.01,1907.0,1907.0,1363.0,1642.0,1.08
ExMu[467],0.651,0.307,0.119,1.172,0.007,0.005,1855.0,1855.0,1337.0,974.0,1.14
ExMu[468],0.325,0.085,0.173,0.48,0.002,0.002,1549.0,1549.0,862.0,1897.0,1.03
ExMu[469],1.414,0.866,0.402,2.921,0.041,0.029,441.0,441.0,895.0,1776.0,1.05
ExMu[470],10.647,3.433,4.36,16.554,0.818,0.588,18.0,18.0,19.0,170.0,1.14
ExMu[471],2.625,0.446,1.891,3.5,0.016,0.011,790.0,790.0,770.0,2734.0,1.0
ExMu[472],1.589,0.421,0.878,2.436,0.035,0.025,143.0,143.0,136.0,76.0,1.02
ExMu[473],2.074,0.908,0.692,3.707,0.019,0.014,2249.0,2249.0,1229.0,1646.0,1.02
ExMu[474],3.498,0.983,2.084,5.464,0.15,0.106,43.0,43.0,36.0,683.0,1.08
ExMu[475],4.997,1.337,2.752,7.678,0.041,0.029,1089.0,1089.0,868.0,1877.0,1.02
ExMu[476],2.886,0.676,1.882,4.275,0.112,0.08,36.0,36.0,35.0,460.0,1.07
ExMu[477],1.665,0.903,0.28,3.247,0.035,0.025,656.0,656.0,579.0,456.0,1.07
ExMu[478],8.952,5.209,0.931,18.447,0.587,0.416,79.0,79.0,175.0,210.0,1.07
ExMu[479],4.35,2.998,0.482,9.633,0.519,0.371,33.0,33.0,29.0,1078.0,1.09
ExMu[480],1.784,0.83,0.541,3.121,0.086,0.061,92.0,92.0,43.0,2150.0,1.06
ExMu[481],0.651,0.427,0.195,1.354,0.058,0.041,54.0,54.0,19.0,91.0,1.14
ExMu[482],2.916,0.689,1.876,4.238,0.116,0.083,35.0,35.0,30.0,1790.0,1.09
ExMu[483],0.62,0.122,0.388,0.85,0.003,0.002,1388.0,1388.0,1082.0,1883.0,1.02
ExMu[484],0.986,0.276,0.519,1.543,0.03,0.021,86.0,86.0,71.0,95.0,1.04
ExMu[485],0.625,0.415,0.132,1.205,0.026,0.018,252.0,252.0,39.0,53.0,1.06
ExMu[486],0.916,0.36,0.296,1.566,0.016,0.011,520.0,520.0,799.0,2208.0,1.04
ExMu[487],1.361,0.322,0.774,1.957,0.007,0.005,2058.0,2058.0,1568.0,2742.0,1.06
ExMu[488],0.662,0.148,0.413,0.966,0.007,0.005,388.0,388.0,301.0,484.0,1.08
ExMu[489],0.771,0.239,0.336,1.209,0.021,0.015,130.0,130.0,138.0,1912.0,1.03
ExMu[490],0.655,0.112,0.452,0.874,0.003,0.002,1472.0,1461.0,1372.0,2679.0,1.07
ExMu[491],0.69,0.12,0.463,0.896,0.004,0.003,745.0,745.0,604.0,533.0,1.06
ExMu[492],0.409,0.192,0.101,0.744,0.011,0.008,319.0,319.0,612.0,1914.0,1.04
ExMu[493],0.64,0.35,0.188,1.148,0.01,0.007,1152.0,1152.0,120.0,1766.0,1.03
ExMu[494],2.121,1.115,0.572,4.326,0.161,0.115,48.0,48.0,43.0,42.0,1.06
ExMu[495],1.174,0.463,0.43,1.959,0.009,0.007,2536.0,2536.0,1413.0,1490.0,1.09
ExMu[496],1.144,0.408,0.41,1.791,0.053,0.038,59.0,59.0,43.0,1670.0,1.06
ExMu[497],1.265,0.278,0.737,1.797,0.025,0.018,125.0,125.0,123.0,60.0,1.06
ExMu[498],1.048,0.82,0.239,2.336,0.052,0.037,251.0,251.0,281.0,172.0,1.08
ExMu[499],1.288,0.289,0.738,1.802,0.016,0.011,335.0,335.0,288.0,259.0,1.02
ExMu[500],1.988,0.686,0.899,3.333,0.049,0.034,199.0,199.0,298.0,1838.0,1.04
ExMu[501],0.526,0.27,0.145,0.997,0.008,0.005,1246.0,1246.0,1623.0,1298.0,1.07
ExMu[502],0.993,0.312,0.452,1.599,0.031,0.022,104.0,104.0,127.0,489.0,1.03
ExMu[503],1.367,0.407,0.581,2.125,0.024,0.017,300.0,300.0,167.0,190.0,1.03
ExMu[504],0.956,0.286,0.474,1.496,0.042,0.03,48.0,48.0,46.0,2132.0,1.06
ExMu[505],0.712,0.157,0.429,1.011,0.005,0.004,816.0,742.0,851.0,682.0,1.08
ExMu[506],0.712,0.157,0.429,1.011,0.005,0.004,816.0,742.0,851.0,682.0,1.08
ExMu[507],0.639,0.117,0.432,0.871,0.003,0.002,1384.0,1384.0,1280.0,2250.0,1.04
ExMu[508],0.956,0.286,0.474,1.496,0.042,0.03,48.0,48.0,46.0,2132.0,1.06
ExMu[509],1.635,0.697,0.458,2.858,0.032,0.023,474.0,474.0,749.0,1836.0,1.09
ExMu[510],1.625,0.855,0.52,3.07,0.109,0.077,62.0,62.0,26.0,1297.0,1.1
ExMu[511],2.989,0.793,1.793,4.504,0.152,0.109,27.0,27.0,23.0,1588.0,1.12
ExMu[512],2.989,0.793,1.793,4.504,0.152,0.109,27.0,27.0,23.0,1588.0,1.12
ExMu[513],1.935,0.422,1.18,2.739,0.064,0.046,43.0,43.0,44.0,158.0,1.06
ExMu[514],2.381,0.522,1.424,3.305,0.089,0.065,34.0,33.0,37.0,200.0,1.07
ExMu[515],1.92,0.65,0.782,3.111,0.014,0.011,2276.0,1785.0,2158.0,1647.0,1.12
ExMu[516],2.116,0.393,1.435,2.877,0.009,0.006,1961.0,1961.0,1745.0,2238.0,1.04
ExMu[517],1.028,0.189,0.693,1.403,0.018,0.013,106.0,106.0,101.0,422.0,1.03
ExMu[518],3.992,0.952,2.297,5.924,0.03,0.021,1040.0,1040.0,901.0,2267.0,1.11
ExMu[519],8.478,2.449,4.28,12.889,0.709,0.557,12.0,10.0,14.0,49.0,1.21
ExMu[520],1.691,0.287,1.173,2.243,0.01,0.007,796.0,796.0,751.0,2512.0,1.02
ExMu[521],1.775,0.32,1.221,2.401,0.013,0.01,566.0,566.0,551.0,3154.0,1.02
ExMu[522],1.599,0.545,0.701,2.636,0.033,0.023,279.0,279.0,313.0,1411.0,1.03
ExMu[523],5.316,1.537,2.877,8.267,0.229,0.163,45.0,45.0,44.0,1293.0,1.06
ExMu[524],2.302,0.646,1.179,3.504,0.058,0.041,123.0,123.0,158.0,321.0,1.03
ExMu[525],2.661,0.517,1.731,3.6,0.073,0.052,50.0,50.0,50.0,1950.0,1.05
ExMu[526],2.796,0.557,1.849,3.847,0.083,0.059,45.0,45.0,41.0,2009.0,1.06
ExMu[527],2.505,0.85,1.097,3.99,0.05,0.035,289.0,289.0,492.0,1968.0,1.11
ExMu[528],2.661,0.517,1.731,3.6,0.073,0.052,50.0,50.0,50.0,1950.0,1.05
ExMu[529],1.935,0.422,1.18,2.739,0.064,0.046,43.0,43.0,44.0,158.0,1.06
