mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
533.548,169.661,236.422,828.253,2.547,1.921,4438.0,3903.0,4563.0,3636.0,1.0
543.521,435.124,40.579,1249.483,6.72,5.319,4193.0,3347.0,5360.0,2665.0,1.0
317.711,116.917,137.508,526.339,1.766,1.297,4385.0,4061.0,4551.0,3182.0,1.0
234.319,92.031,87.043,404.41,1.349,0.977,4657.0,4439.0,4723.0,3661.0,1.0
328.114,84.67,189.642,486.704,1.314,0.929,4154.0,4154.0,4061.0,3683.0,1.0
270.946,73.279,144.529,404.218,1.078,0.791,4622.0,4293.0,4643.0,3665.0,1.0
373.393,137.925,162.964,616.736,2.128,1.567,4202.0,3872.0,4385.0,3718.0,1.0
478.188,220.319,168.033,872.276,3.342,2.524,4345.0,3809.0,4589.0,3683.0,1.0
443.715,130.707,228.168,688.183,1.936,1.385,4557.0,4454.0,4497.0,3753.0,1.0
357.245,100.665,188.216,541.815,1.502,1.075,4494.0,4381.0,4432.0,3407.0,1.0
357.245,100.665,188.216,541.815,1.502,1.075,4494.0,4381.0,4432.0,3407.0,1.0
252.576,191.048,27.224,593.679,2.925,2.357,4267.0,3286.0,5846.0,3027.0,1.0
263.249,84.168,121.774,419.543,1.218,0.877,4777.0,4607.0,4814.0,3876.0,1.0
345.172,209.668,62.201,701.156,3.175,2.659,4362.0,3109.0,5526.0,3242.0,1.0
457.338,221.573,127.736,875.29,3.151,2.466,4945.0,4036.0,5514.0,3528.0,1.0
281.233,77.778,151.689,430.648,1.108,0.796,4927.0,4774.0,4994.0,3888.0,1.0
858.154,435.773,202.847,1594.387,6.434,4.656,4588.0,4380.0,4634.0,3634.0,1.0
277.681,79.608,146.729,429.337,1.122,0.803,5036.0,4909.0,5022.0,3798.0,1.0
270.946,73.279,144.529,404.218,1.078,0.791,4622.0,4293.0,4643.0,3665.0,1.0
357.245,100.665,188.216,541.815,1.502,1.075,4494.0,4381.0,4432.0,3407.0,1.0
218.455,131.056,39.53,456.289,1.983,1.519,4368.0,3720.0,5647.0,3246.0,1.0
373.922,224.973,85.907,772.551,3.341,2.722,4533.0,3416.0,5743.0,3113.0,1.0
234.421,143.324,53.678,492.355,2.181,1.748,4319.0,3361.0,5058.0,3398.0,1.0
224.576,143.037,40.46,483.191,2.17,1.71,4346.0,3501.0,5988.0,3164.0,1.0
140.816,115.873,13.945,337.016,1.775,1.371,4260.0,3572.0,5917.0,3275.0,1.0
213.829,82.935,78.357,359.558,1.177,0.898,4968.0,4264.0,5311.0,3354.0,1.0
274.323,187.221,40.745,595.643,2.786,2.153,4516.0,3780.0,5400.0,3821.0,1.0
332.532,233.2,65.705,732.107,3.716,3.198,3938.0,2659.0,5005.0,3580.0,1.0
518.258,168.34,242.39,823.927,2.564,1.899,4311.0,3928.0,4695.0,3742.0,1.0
193.737,76.183,70.54,332.324,1.055,0.775,5210.0,4832.0,5262.0,3704.0,1.0
295.078,127.968,98.662,530.612,1.726,1.292,5499.0,4909.0,5472.0,3306.0,1.0
453.445,125.306,229.893,685.711,1.813,1.302,4776.0,4635.0,4789.0,3740.0,1.0
453.445,125.306,229.893,685.711,1.813,1.302,4776.0,4635.0,4789.0,3740.0,1.0
453.445,125.306,229.893,685.711,1.813,1.302,4776.0,4635.0,4789.0,3740.0,1.0
453.445,125.306,229.893,685.711,1.813,1.302,4776.0,4635.0,4789.0,3740.0,1.0
453.445,125.306,229.893,685.711,1.813,1.302,4776.0,4635.0,4789.0,3740.0,1.0
453.445,125.306,229.893,685.711,1.813,1.302,4776.0,4635.0,4789.0,3740.0,1.0
453.445,125.306,229.893,685.711,1.813,1.302,4776.0,4635.0,4789.0,3740.0,1.0
453.445,125.306,229.893,685.711,1.813,1.302,4776.0,4635.0,4789.0,3740.0,1.0
