mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
4.801,1.218,2.81,7.148,0.02,0.015,3574.0,3404.0,3698.0,3147.0,1.0
4.801,1.218,2.81,7.148,0.02,0.015,3574.0,3404.0,3698.0,3147.0,1.0
4.201,1.389,1.868,6.735,0.023,0.016,3601.0,3601.0,3444.0,2855.0,1.0
0.846,0.362,0.275,1.481,0.006,0.005,3198.0,3198.0,2938.0,3172.0,1.0
1.027,0.405,0.402,1.785,0.008,0.006,2507.0,2507.0,2605.0,3039.0,1.0
5.545,1.76,2.644,8.986,0.032,0.022,3113.0,3113.0,2888.0,3253.0,1.0
11.854,4.303,5.05,19.838,0.081,0.058,2788.0,2788.0,2701.0,3138.0,1.0
4.456,1.751,1.709,7.681,0.035,0.025,2489.0,2489.0,2327.0,3008.0,1.0
1.751,0.683,0.671,2.976,0.014,0.01,2339.0,2339.0,1863.0,2439.0,1.0
2.404,0.681,1.284,3.688,0.014,0.01,2494.0,2494.0,2435.0,3399.0,1.0
2.053,0.418,1.332,2.842,0.008,0.006,2486.0,2486.0,2446.0,3144.0,1.0
4.008,1.162,2.066,6.209,0.023,0.016,2550.0,2550.0,2420.0,2938.0,1.0
5.545,1.677,2.755,8.674,0.032,0.023,2701.0,2701.0,2442.0,1482.0,1.0
4.461,1.677,1.847,7.642,0.043,0.03,1557.0,1557.0,913.0,1207.0,1.0
5.188,1.114,3.198,7.285,0.02,0.014,2962.0,2962.0,2806.0,2803.0,1.0
5.714,1.228,3.402,7.959,0.022,0.015,3204.0,3204.0,3107.0,3127.0,1.0
5.242,0.982,3.527,7.207,0.017,0.012,3153.0,3153.0,2955.0,2921.0,1.0
3.292,0.727,1.996,4.649,0.014,0.01,2887.0,2887.0,2766.0,2240.0,1.0
1.973,0.683,0.81,3.179,0.014,0.01,2326.0,2246.0,2473.0,2104.0,1.01
3.139,0.848,1.694,4.743,0.016,0.012,2650.0,2526.0,2805.0,3010.0,1.0
6.678,1.564,3.848,9.57,0.031,0.022,2548.0,2548.0,2517.0,2831.0,1.0
7.868,1.761,4.838,11.387,0.038,0.027,2191.0,2191.0,2141.0,2707.0,1.0
3.828,1.189,1.743,5.925,0.023,0.017,2580.0,2580.0,2589.0,3311.0,1.0
6.088,2.308,2.326,10.283,0.041,0.029,3220.0,3220.0,2962.0,2759.0,1.0
2.844,0.684,1.68,4.151,0.019,0.013,1293.0,1293.0,1416.0,2365.0,1.0
2.317,0.635,1.307,3.54,0.012,0.009,2690.0,2568.0,3085.0,3142.0,1.0
1.798,0.386,1.138,2.536,0.008,0.005,2592.0,2592.0,2565.0,3082.0,1.0
4.635,1.114,2.809,6.811,0.024,0.017,2123.0,2123.0,2026.0,1904.0,1.0
1.692,0.378,1.081,2.441,0.009,0.006,1883.0,1883.0,1925.0,2671.0,1.0
7.511,2.032,3.918,11.238,0.047,0.033,1840.0,1840.0,1760.0,2372.0,1.0
5.318,1.253,3.101,7.607,0.026,0.018,2408.0,2408.0,2242.0,2614.0,1.0
7.281,2.412,3.348,11.762,0.045,0.032,2829.0,2829.0,2691.0,2823.0,1.0
1.617,0.401,0.955,2.419,0.009,0.006,2155.0,2155.0,2114.0,3237.0,1.0
2.663,0.637,1.556,3.835,0.011,0.008,3121.0,3121.0,3001.0,3366.0,1.0
4.924,1.149,3.007,7.09,0.026,0.018,1942.0,1942.0,1996.0,2779.0,1.0
8.038,2.041,4.568,12.077,0.038,0.027,2946.0,2912.0,2914.0,2855.0,1.0
0.779,0.204,0.415,1.155,0.004,0.003,2878.0,2878.0,2768.0,3418.0,1.0
2.101,0.426,1.377,2.925,0.009,0.006,2491.0,2491.0,2448.0,3801.0,1.0
2.101,0.426,1.377,2.925,0.009,0.006,2491.0,2491.0,2448.0,3801.0,1.0
1.323,0.288,0.83,1.866,0.006,0.004,2391.0,2324.0,2481.0,3150.0,1.0
6.692,2.385,2.889,11.121,0.05,0.035,2294.0,2294.0,2164.0,2947.0,1.0
6.596,1.93,3.517,10.196,0.034,0.024,3306.0,3298.0,3311.0,3540.0,1.0
6.026,2.044,2.556,9.741,0.044,0.031,2199.0,2199.0,2158.0,3157.0,1.0
