,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Fam_nc[39],-0.042,0.951,-1.754,1.781,0.018,0.017,2905.0,1547.0,2905.0,2539.0,1.01
Fam_nc[40],-0.215,0.938,-1.931,1.546,0.017,0.016,3134.0,1775.0,3122.0,2459.0,1.0
Fam_nc[41],-0.233,0.955,-2.015,1.601,0.019,0.016,2459.0,1896.0,2470.0,2385.0,1.0
Fam_nc[42],0.195,0.917,-1.485,1.943,0.019,0.015,2399.0,1783.0,2384.0,2351.0,1.0
Fam_nc[43],0.39,0.905,-1.327,2.085,0.022,0.015,1746.0,1746.0,1768.0,2275.0,1.0
Fam_nc[44],0.134,0.92,-1.585,1.898,0.017,0.015,3040.0,1956.0,3042.0,2593.0,1.0
Fam_nc[45],-0.399,0.975,-2.259,1.388,0.026,0.018,1410.0,1410.0,1405.0,2386.0,1.01
Fam_nc[46],-0.043,0.968,-1.817,1.83,0.031,0.022,1002.0,1002.0,939.0,2298.0,1.01
Fam_nc[47],0.132,0.95,-1.67,1.829,0.035,0.025,730.0,730.0,781.0,1810.0,1.01
Fam_nc[48],-0.15,1.006,-1.933,1.717,0.045,0.032,507.0,507.0,519.0,1274.0,1.01
Fam_nc[49],-0.006,0.943,-1.763,1.801,0.018,0.017,2816.0,1578.0,2837.0,2490.0,1.0
Fam_nc[50],-0.208,0.973,-2.141,1.568,0.019,0.018,2533.0,1451.0,2547.0,2049.0,1.01
Fam_nc[51],0.023,0.964,-1.793,1.792,0.018,0.015,3027.0,2076.0,3021.0,2699.0,1.01
Gen_nc[0],-0.044,0.744,-1.425,1.41,0.014,0.015,2652.0,1317.0,2641.0,1942.0,1.0
Gen_nc[1],-0.35,0.714,-1.618,1.051,0.02,0.014,1286.0,1286.0,1283.0,1917.0,1.0
Gen_nc[2],1.231,0.69,-0.051,2.569,0.014,0.01,2554.0,2554.0,2570.0,2583.0,1.0
Gen_nc[3],-0.947,0.594,-2.056,0.175,0.016,0.012,1441.0,1332.0,1456.0,2109.0,1.0
Gen_nc[4],0.182,0.676,-1.178,1.389,0.016,0.011,1781.0,1781.0,1779.0,2224.0,1.0
Gen_nc[5],-0.167,0.686,-1.4,1.151,0.022,0.016,963.0,963.0,931.0,2260.0,1.01
Gen_nc[6],0.742,0.579,-0.334,1.825,0.014,0.01,1654.0,1654.0,1651.0,2181.0,1.0
Gen_nc[7],0.995,0.843,-0.561,2.49,0.026,0.024,1054.0,599.0,1127.0,2158.0,1.01
Gen_nc[8],-0.43,0.773,-1.815,1.076,0.015,0.013,2782.0,1864.0,2828.0,2814.0,1.0
Gen_nc[9],-0.417,0.758,-1.779,1.085,0.017,0.013,1997.0,1802.0,2005.0,1712.0,1.0
Gen_nc[10],0.188,0.788,-1.233,1.723,0.017,0.015,2181.0,1452.0,2159.0,2098.0,1.0
Gen_nc[11],-1.564,0.775,-3.019,-0.096,0.018,0.012,1954.0,1954.0,1956.0,2524.0,1.01
Gen_nc[12],0.273,0.777,-1.162,1.749,0.014,0.013,2946.0,1690.0,2923.0,2398.0,1.0
Gen_nc[13],-0.415,0.783,-1.82,1.13,0.017,0.014,2207.0,1602.0,2198.0,1914.0,1.0
Gen_nc[14],0.144,0.813,-1.378,1.689,0.017,0.013,2216.0,1856.0,2220.0,2611.0,1.0
Gen_nc[15],0.023,0.736,-1.334,1.433,0.013,0.012,3018.0,1916.0,3009.0,2458.0,1.0
Gen_nc[16],0.064,0.771,-1.438,1.468,0.026,0.019,857.0,857.0,850.0,900.0,1.01
Gen_nc[17],-0.305,0.836,-1.845,1.257,0.017,0.015,2467.0,1489.0,2475.0,2068.0,1.01
Gen_nc[18],0.116,0.788,-1.49,1.47,0.015,0.013,2821.0,1721.0,2803.0,2661.0,1.0
Gen_nc[19],-0.345,0.699,-1.609,1.012,0.015,0.011,2248.0,1942.0,2231.0,2431.0,1.0
Gen_nc[20],0.196,0.753,-1.181,1.624,0.014,0.013,2739.0,1789.0,2729.0,2178.0,1.01
Gen_nc[21],-0.173,0.738,-1.573,1.156,0.017,0.013,1920.0,1722.0,1865.0,2680.0,1.0
Gen_nc[22],0.499,0.825,-1.151,1.941,0.02,0.014,1725.0,1725.0,1722.0,2258.0,1.0
Gen_nc[23],-0.112,0.799,-1.63,1.34,0.015,0.013,2838.0,1780.0,2828.0,2714.0,1.0
Gen_nc[24],-0.273,0.811,-1.877,1.147,0.018,0.013,2116.0,1864.0,2146.0,1912.0,1.0
Gen_nc[25],0.388,0.855,-1.289,1.867,0.025,0.018,1161.0,1161.0,1099.0,2491.0,1.0
Gen_nc[26],0.476,0.796,-1.069,1.939,0.015,0.012,2871.0,2131.0,2846.0,2153.0,1.0
Gen_nc[27],-0.094,0.78,-1.479,1.428,0.015,0.013,2592.0,1755.0,2592.0,2327.0,1.0
Gen_nc[28],0.837,0.77,-0.55,2.254,0.028,0.023,753.0,546.0,741.0,2172.0,1.01
Gen_nc[29],-0.014,0.984,-1.815,1.814,0.021,0.017,2179.0,1696.0,2240.0,2503.0,1.0
Gen_nc[30],0.992,0.854,-0.556,2.645,0.017,0.012,2634.0,2485.0,2669.0,2635.0,1.0
Gen_nc[31],0.601,0.787,-0.892,2.007,0.029,0.023,748.0,609.0,699.0,2217.0,1.01
Gen_nc[32],1.23,0.95,-0.413,3.329,0.06,0.07,253.0,93.0,260.0,39.0,1.01
Gen_nc[33],1.247,0.951,-0.706,2.869,0.016,0.012,3379.0,3379.0,3484.0,2341.0,1.0
Gen_nc[34],1.073,0.844,-0.516,2.648,0.018,0.013,2211.0,2211.0,2277.0,2377.0,1.0
Gen_nc[35],0.745,0.841,-0.819,2.367,0.019,0.013,2056.0,2056.0,2060.0,1704.0,1.0
Gen_nc[36],-1.308,1.038,-3.223,0.514,0.045,0.042,521.0,312.0,521.0,1206.0,1.01
Gen_nc[37],-1.122,0.912,-2.727,0.648,0.021,0.015,1861.0,1861.0,1915.0,2389.0,1.0
Gen_nc[38],0.598,0.59,-0.557,1.678,0.013,0.01,2185.0,1927.0,2186.0,2716.0,1.0
Gen_nc[39],-1.14,0.891,-2.701,0.685,0.018,0.014,2541.0,1976.0,2531.0,1883.0,1.01
Gen_nc[40],-0.347,0.773,-1.92,1.045,0.015,0.014,2708.0,1598.0,2703.0,2413.0,1.0
Gen_nc[41],0.132,0.756,-1.24,1.521,0.018,0.014,1788.0,1382.0,1763.0,2333.0,1.0
Gen_nc[42],-0.383,0.678,-1.617,0.892,0.025,0.018,714.0,714.0,790.0,2176.0,1.01
Gen_nc[43],-0.367,0.808,-1.846,1.163,0.016,0.013,2586.0,2061.0,2576.0,2602.0,1.0
Gen_nc[44],0.515,0.757,-0.924,1.969,0.014,0.012,3015.0,1959.0,2971.0,2194.0,1.0
Gen_nc[45],0.528,0.693,-0.811,1.83,0.013,0.01,2659.0,2365.0,2650.0,2560.0,1.0
Gen_nc[46],0.446,0.765,-0.944,1.879,0.022,0.016,1208.0,1208.0,1184.0,2697.0,1.0
Gen_nc[47],0.77,0.801,-0.772,2.212,0.016,0.011,2612.0,2573.0,2632.0,2186.0,1.0
Gen_nc[48],0.138,0.773,-1.353,1.561,0.014,0.012,3187.0,1992.0,3152.0,2588.0,1.0
Gen_nc[49],-0.862,0.798,-2.262,0.736,0.015,0.012,2782.0,2102.0,2822.0,2474.0,1.0
Gen_nc[50],-1.075,0.848,-2.571,0.579,0.02,0.014,1835.0,1835.0,1897.0,2508.0,1.0
Gen_nc[51],-0.408,0.82,-1.845,1.227,0.015,0.013,3127.0,2117.0,3144.0,2675.0,1.0
Gen_nc[52],-0.901,0.839,-2.44,0.735,0.017,0.012,2482.0,2482.0,2543.0,2168.0,1.0
Gen_nc[53],-0.633,0.681,-1.903,0.635,0.015,0.011,2014.0,2014.0,1979.0,1994.0,1.0
Gen_nc[54],-0.772,0.802,-2.314,0.658,0.016,0.012,2610.0,2128.0,2588.0,2544.0,1.0
Gen_nc[55],0.49,0.846,-1.105,2.04,0.021,0.015,1661.0,1661.0,1704.0,2799.0,1.0
Gen_nc[56],-0.165,0.856,-1.744,1.381,0.018,0.014,2167.0,1784.0,2164.0,2679.0,1.0
Gen_nc[57],-0.878,0.769,-2.261,0.608,0.018,0.013,1811.0,1811.0,1845.0,2180.0,1.0
Gen_nc[58],-0.676,0.783,-2.159,0.734,0.018,0.013,1885.0,1885.0,1902.0,2812.0,1.0
Gen_nc[59],-0.215,0.709,-1.556,1.099,0.013,0.011,3020.0,2080.0,2972.0,2699.0,1.0
Gen_nc[60],0.019,0.755,-1.451,1.408,0.016,0.013,2148.0,1769.0,2172.0,2477.0,1.0
Gen_nc[61],-0.838,0.791,-2.33,0.67,0.015,0.011,2635.0,2516.0,2657.0,2367.0,1.01
Gen_nc[62],0.453,0.636,-0.778,1.668,0.013,0.011,2512.0,1649.0,2493.0,2161.0,1.0
Gen_nc[63],-0.42,0.611,-1.562,0.753,0.012,0.01,2390.0,1819.0,2396.0,2437.0,1.0
Gen_nc[64],0.725,0.595,-0.367,1.843,0.014,0.01,1717.0,1692.0,1701.0,2027.0,1.0
Gen_nc[65],-0.797,0.779,-2.148,0.765,0.02,0.014,1561.0,1561.0,1576.0,1855.0,1.0
Gen_nc[66],-0.525,0.639,-1.682,0.675,0.015,0.011,1868.0,1781.0,1859.0,2242.0,1.0
Gen_nc[67],1.141,0.496,0.248,2.1,0.011,0.008,1871.0,1829.0,1865.0,2090.0,1.01
Gen_nc[68],1.091,0.888,-0.538,2.712,0.031,0.025,839.0,620.0,798.0,920.0,1.01
Gen_nc[69],-0.132,0.614,-1.319,0.998,0.013,0.01,2258.0,1988.0,2256.0,2241.0,1.01
Gen_nc[70],0.131,0.692,-1.123,1.527,0.013,0.011,2732.0,1895.0,2724.0,2635.0,1.0
Gen_nc[71],0.253,0.438,-0.545,1.093,0.011,0.008,1646.0,1646.0,1630.0,2229.0,1.0
Gen_nc[72],-0.023,0.781,-1.517,1.434,0.016,0.014,2417.0,1573.0,2405.0,2222.0,1.0
Gen_nc[73],1.465,0.631,0.25,2.634,0.015,0.011,1798.0,1798.0,1864.0,1550.0,1.0
