,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Scophthalmidae,1.445,1.064,-0.474,3.457,0.142,0.143,56.0,28.0,58.0,19.0,1.05
Mullidae,1.4,1.057,-0.473,3.483,0.156,0.157,46.0,23.0,54.0,15.0,1.06
Salmonidae,1.575,1.033,-0.033,3.667,0.128,0.119,65.0,38.0,66.0,27.0,1.05
Clupeidae,1.486,1.046,-0.339,3.564,0.151,0.152,48.0,24.0,58.0,15.0,1.05
Carangidae,1.43,1.056,-0.438,3.498,0.148,0.15,51.0,25.0,57.0,15.0,1.05
Xiphiidae,1.402,1.044,-0.461,3.496,0.154,0.157,46.0,23.0,57.0,15.0,1.06
Stromateidae,1.435,1.056,-0.431,3.49,0.151,0.152,49.0,25.0,56.0,15.0,1.05
Sciaenidae,1.412,1.051,-0.461,3.493,0.15,0.154,49.0,24.0,56.0,15.0,1.05
Platycephalidae,1.533,1.053,-0.085,3.82,0.138,0.135,58.0,31.0,62.0,22.0,1.05
Mugilidae,1.419,1.073,-0.439,3.55,0.155,0.158,48.0,24.0,53.0,15.0,1.06
Polynemidae,1.386,1.053,-0.484,3.469,0.155,0.156,46.0,23.0,55.0,14.0,1.06
Sillaginidae,1.377,1.056,-0.451,3.479,0.161,0.161,43.0,22.0,50.0,15.0,1.06
Gobiidae,1.381,1.041,-0.476,3.481,0.156,0.16,45.0,22.0,54.0,15.0,1.06
Hemiramphidae,1.393,1.058,-0.47,3.502,0.152,0.154,48.0,24.0,58.0,15.0,1.06
Belonidae,1.39,1.051,-0.491,3.505,0.159,0.158,43.0,23.0,53.0,15.0,1.06
Eleotridae,1.419,1.076,-0.468,3.482,0.154,0.154,48.0,25.0,53.0,15.0,1.06
Pleuronectidae,1.473,1.048,-0.115,3.785,0.137,0.139,58.0,29.0,62.0,19.0,1.05
Cyclopteridae,1.519,1.059,-0.077,3.796,0.14,0.138,57.0,30.0,59.0,20.0,1.05
Sebastidae,1.538,1.046,-0.088,3.797,0.135,0.136,60.0,30.0,64.0,22.0,1.05
Anarhichadidae,1.416,1.059,-0.42,3.488,0.15,0.152,50.0,25.0,57.0,15.0,1.05
Rajidae,0.972,1.019,-0.658,3.184,0.155,0.163,43.0,20.0,51.0,17.0,1.06
Trichiuridae,1.439,1.049,-0.436,3.493,0.15,0.151,49.0,25.0,58.0,16.0,1.05
Triakidae,0.935,1.018,-0.635,3.187,0.153,0.163,44.0,20.0,55.0,19.0,1.06
Serranidae,1.417,1.044,-0.377,3.53,0.151,0.153,48.0,24.0,57.0,15.0,1.05
Leiognathidae,1.402,1.046,-0.43,3.477,0.153,0.155,47.0,23.0,54.0,15.0,1.06
Cyprinidae,1.375,1.056,-0.427,3.508,0.151,0.154,49.0,24.0,58.0,15.0,1.06
Latidae,1.421,1.066,-0.444,3.474,0.148,0.149,52.0,26.0,57.0,16.0,1.05
Haemulidae,1.395,1.053,-0.481,3.497,0.154,0.157,47.0,23.0,56.0,15.0,1.05
Lethrinidae,1.409,1.045,-0.461,3.477,0.154,0.157,46.0,23.0,53.0,15.0,1.06
Lutjanidae,1.408,1.046,-0.446,3.481,0.154,0.157,46.0,23.0,55.0,16.0,1.06
