,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Fam_nc[34],0.651,1.065,-1.138,2.28,0.221,0.178,23.0,18.0,24.0,137.0,1.11
Fam_nc[35],-0.285,0.995,-2.351,1.282,0.183,0.151,30.0,22.0,31.0,22.0,1.15
Fam_nc[36],-0.05,0.881,-1.724,1.506,0.112,0.08,62.0,62.0,68.0,1309.0,1.12
Fam_nc[37],-0.264,0.905,-2.029,1.385,0.054,0.07,282.0,83.0,289.0,916.0,1.1
Fam_nc[38],-0.12,0.985,-1.686,1.815,0.158,0.112,39.0,39.0,39.0,794.0,1.07
Fam_nc[39],-0.408,0.987,-2.003,1.446,0.12,0.086,67.0,67.0,81.0,1544.0,1.04
Fam_nc[40],0.173,0.872,-1.487,1.86,0.048,0.034,333.0,333.0,286.0,1082.0,1.06
Fam_nc[41],0.401,1.001,-1.48,2.143,0.105,0.137,92.0,27.0,102.0,128.0,1.17
Fam_nc[42],0.379,0.967,-1.528,2.135,0.069,0.049,196.0,196.0,187.0,943.0,1.07
Fam_nc[43],-0.335,0.878,-2.055,1.35,0.034,0.024,678.0,674.0,505.0,1576.0,1.05
Fam_nc[44],-0.156,0.905,-1.595,1.642,0.156,0.111,34.0,34.0,38.0,1138.0,1.07
Fam_nc[45],0.142,0.909,-1.656,1.681,0.097,0.069,88.0,88.0,122.0,1357.0,1.03
Fam_nc[46],0.203,0.953,-1.676,1.673,0.136,0.097,49.0,49.0,47.0,756.0,1.06
Fam_nc[47],-0.158,0.912,-1.786,1.455,0.087,0.062,110.0,110.0,113.0,1420.0,1.08
Fam_nc[48],-0.279,0.905,-1.769,1.613,0.048,0.044,350.0,208.0,336.0,1661.0,1.09
Fam_nc[49],-0.234,0.956,-1.64,1.569,0.178,0.127,29.0,29.0,31.0,417.0,1.08
Fam_nc[50],0.033,0.916,-1.641,1.729,0.092,0.065,100.0,100.0,123.0,1027.0,1.06
Fam_nc[51],-0.136,0.953,-1.619,1.742,0.137,0.097,49.0,49.0,50.0,445.0,1.05
Fam_nc[52],-0.063,0.896,-1.791,1.516,0.08,0.056,126.0,126.0,150.0,1581.0,1.02
Fam_nc[53],0.18,1.051,-1.881,1.734,0.156,0.111,46.0,46.0,55.0,42.0,1.07
Fam_nc[54],-0.241,0.865,-1.751,1.648,0.027,0.031,1036.0,385.0,726.0,1489.0,1.06
Fam_nc[55],-0.141,1.455,-3.263,1.59,0.453,0.343,10.0,10.0,15.0,33.0,1.2
Fam_nc[56],-0.014,0.862,-1.758,1.657,0.02,0.048,1814.0,160.0,1455.0,1620.0,1.09
Fam_nc[57],0.02,0.82,-1.611,1.539,0.026,0.033,1026.0,303.0,679.0,1755.0,1.05
Fam_nc[58],0.485,1.304,-1.698,3.557,0.242,0.183,29.0,26.0,33.0,22.0,1.08
Fam_nc[59],0.127,0.927,-1.664,1.793,0.1,0.071,86.0,86.0,88.0,1308.0,1.11
Fam_nc[60],0.038,1.094,-2.089,1.6,0.193,0.138,32.0,32.0,39.0,41.0,1.07
