,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Gen_nc[92],-0.609,0.768,-2.108,0.864,0.014,0.018,2931.0,954.0,2773.0,1955.0,1.12
Gen_nc[93],-0.731,0.852,-2.252,0.955,0.091,0.065,87.0,87.0,90.0,1957.0,1.04
Gen_nc[94],-0.85,0.658,-1.998,0.504,0.016,0.011,1699.0,1699.0,1680.0,1536.0,1.04
Gen_nc[95],-0.03,0.806,-1.705,1.361,0.027,0.019,891.0,891.0,881.0,1619.0,1.02
Gen_nc[96],-0.109,0.753,-1.537,1.297,0.021,0.026,1282.0,422.0,1231.0,2058.0,1.02
Gen_nc[97],0.344,0.787,-1.049,1.867,0.087,0.062,82.0,82.0,87.0,2123.0,1.03
Gen_nc[98],-0.367,0.593,-1.549,0.768,0.015,0.013,1603.0,1068.0,1559.0,677.0,1.06
Gen_nc[99],0.304,0.787,-1.158,1.776,0.085,0.061,85.0,85.0,100.0,2053.0,1.03
Gen_nc[100],0.016,0.784,-1.411,1.591,0.015,0.032,2862.0,301.0,2822.0,1882.0,1.11
Gen_nc[101],-0.108,0.93,-1.811,1.446,0.15,0.107,39.0,39.0,41.0,815.0,1.07
Gen_nc[102],-0.179,0.624,-1.364,0.928,0.053,0.038,138.0,138.0,165.0,1630.0,1.03
Gen_nc[103],0.266,0.704,-1.126,1.573,0.013,0.023,2993.0,472.0,2913.0,2147.0,1.07
Gen_nc[104],0.537,0.802,-0.859,2.09,0.022,0.035,1318.0,260.0,1394.0,2240.0,1.02
Gen_nc[105],-0.496,0.774,-1.998,0.962,0.019,0.04,1617.0,187.0,1756.0,2526.0,1.05
Gen_nc[106],0.266,0.945,-1.336,2.172,0.096,0.068,96.0,96.0,107.0,1522.0,1.03
Gen_nc[107],0.239,0.943,-1.45,1.792,0.209,0.15,20.0,20.0,24.0,214.0,1.1
Gen_nc[108],0.365,0.78,-1.141,1.894,0.015,0.034,2719.0,257.0,2644.0,2027.0,1.08
Gen_nc[109],0.034,0.839,-1.6,1.542,0.04,0.028,435.0,435.0,448.0,2478.0,1.02
Gen_nc[110],0.849,0.797,-0.831,2.226,0.022,0.016,1315.0,1315.0,1370.0,1598.0,1.04
Gen_nc[111],-0.525,0.893,-2.155,0.96,0.161,0.115,31.0,31.0,32.0,261.0,1.09
Gen_nc[112],0.708,0.783,-0.667,2.317,0.02,0.016,1467.0,1238.0,1389.0,832.0,1.03
